Loan_ID,Farmer_ID,Enterprise_ID,Loan_Amount,Interest_Rate,Loan_Date,Loan_Use_Status,Loan_Repayment_Amount,Repayment_Date,Duration_Months,Loan_Use_Duration,Credit_Worthiness_Status,Loan_Asset_Ratio,OpEx_Income_Ratio,Loan_Source,Loan_Supervision_Frequency,Distance_to_Lender,Disbursement_Lag,Has_Defaulted,Default_Reason,Prior_Loan_Repayment_Rate_Master,Prior_Loan_Repayment_History_Master,Prior_Loan_Purpose_Master,Farmer_Credit_Score_General_Master
LOAN_0000092,FARMER_00378,ENT_000378,9295000,33.2,2020-10-13,No,8086650,2020-12-08,18,9,Creditworthy,3.17,0.53,Government Program,1,55.9,6,No,N/A,0.87,Good,Land Expansion,524
LOAN_0000093,FARMER_00380,ENT_000380,620000,8.2,2023-06-27,No,570400,2023-12-20,36,9,Creditworthy,0.78,0.54,Bank of Agriculture,4,85.4,1,No,N/A,0.92,Good,Storage Construction,827
LOAN_0000094,FARMER_00381,ENT_000381,2135000,33.1,2020-06-07,No,1750700,2020-07-24,12,3,Non-creditworthy,1.14,0.43,Microfinance Bank,2,7.5,0,No,N/A,0.82,Good,Asset Acquisition,558
LOAN_0000095,FARMER_00388,ENT_000388,2545000,10.5,2022-03-29,Yes,1501550,2022-08-24,12,5,Non-creditworthy,1.3,0.41,Government Program,4,75.7,6,No,N/A,0.59,Fair,Mechanization Loan,381
LOAN_0000096,FARMER_00391,ENT_000391,3830000,18.1,2023-09-29,Yes,1110700,2024-06-22,18,2,Non-creditworthy,1.85,0.55,Family/Friends,3,52.9,1,Yes,Input Price Hike,0.29,Poor,Asset Acquisition,413
LOAN_0000097,FARMER_00396,ENT_000396,240000,11.9,2019-08-16,No,0,,12,8,Creditworthy,1.25,0.76,Government Program,4,53.8,4,No,N/A,0.0,None,Processing Equipment,520
LOAN_0000098,FARMER_00398,ENT_000398,5505000,28.5,2022-04-09,Yes,0,,36,10,Non-creditworthy,3.4,0.71,Cooperative,3,67.5,6,No,N/A,0.0,None,Storage Construction,816
LOAN_0000099,FARMER_00405,ENT_000405,745000,15.3,2023-10-12,Yes,186250,2023-12-30,6,6,Non-creditworthy,0.8,0.55,Microfinance Bank,4,60.6,1,Yes,Low/Poor Yield,0.25,Poor,Storage Construction,545
LOAN_0000100,FARMER_00409,ENT_000409,565000,18.7,2023-06-14,Yes,146900,2024-10-08,24,24,Non-creditworthy,0.79,0.73,Cooperative,4,94.4,5,Yes,Pest Attack,0.26,Poor,Mechanization Loan,832
LOAN_0000101,FARMER_00411,ENT_000411,665000,7.4,2014-11-20,Yes,578550,2015-01-02,12,2,Non-creditworthy,0.94,0.42,Informal Lender,0,61.6,2,No,N/A,0.87,Good,Mechanization Loan,382
LOAN_0000102,FARMER_00413,ENT_000413,1605000,9.0,2015-07-21,No,674100,2016-08-07,24,4,Non-creditworthy,1.62,0.44,Microfinance Bank,3,8.4,5,Yes,Other,0.42,Poor,Land Expansion,603
LOAN_0000103,FARMER_00414,ENT_000414,3035000,10.1,2018-08-31,Yes,3035000,2021-03-14,36,28,Creditworthy,2.05,0.72,Government Program,4,25.1,0,No,N/A,1.0,Excellent,Processing Equipment,827
LOAN_0000104,FARMER_00422,ENT_000422,635000,17.5,2019-08-23,No,419100,2020-04-21,18,18,Non-creditworthy,0.59,0.69,Cooperative,2,86.4,1,No,N/A,0.66,Fair,Processing Equipment,804
LOAN_0000105,FARMER_00427,ENT_000427,305000,22.3,2015-03-12,No,176900,2015-10-12,24,20,Non-creditworthy,0.57,0.52,Commercial Bank,1,57.5,3,No,N/A,0.58,Fair,Asset Acquisition,371
LOAN_0000106,FARMER_00431,ENT_000431,1255000,32.7,2014-06-04,Yes,1229900,2014-09-25,6,2,Non-creditworthy,1.01,0.41,Bank of Agriculture,1,2.7,6,No,N/A,0.98,Excellent,Bundled Services Loan,498
LOAN_0000107,FARMER_00432,ENT_000432,1095000,32.9,2023-11-04,Yes,120450,2025-05-07,24,16,Non-creditworthy,0.75,0.57,Informal Lender,3,28.5,1,Yes,Market Loss,0.11,Poor,Storage Construction,753
LOAN_0000108,FARMER_00434,ENT_000434,515000,7.5,2023-10-11,Yes,360500,2025-05-07,36,16,Creditworthy,2.61,0.6,Bank of Agriculture,5,23.7,0,No,N/A,0.7,Fair,Storage Construction,348
LOAN_0000109,FARMER_00442,ENT_000442,3165000,17.7,2024-03-23,Yes,3070050,2025-05-07,36,14,Creditworthy,3.24,0.79,Informal Lender,5,25.6,5,No,N/A,0.97,Excellent,Mechanization Loan,467
LOAN_0000110,FARMER_00446,ENT_000446,4260000,12.3,2019-10-14,No,4047000,2021-02-03,18,5,Creditworthy,1.17,0.53,Government Program,3,34.3,2,No,N/A,0.95,Excellent,Bundled Services Loan,355
LOAN_0000111,FARMER_00456,ENT_000456,2225000,21.2,2023-09-09,No,0,,36,5,Non-creditworthy,0.82,0.55,Commercial Bank,2,80.5,3,No,N/A,0.0,None,Working Capital,484
LOAN_0000112,FARMER_00459,ENT_000459,3755000,5.2,2023-11-10,Yes,3041550,2024-05-01,6,1,Creditworthy,1.84,0.53,Informal Lender,2,97.5,4,No,N/A,0.81,Good,Land Expansion,482
LOAN_0000113,FARMER_00464,ENT_000464,435000,26.1,2022-07-08,Yes,352350,2023-05-15,12,6,Non-creditworthy,0.18,0.49,Family/Friends,0,91.4,5,No,N/A,0.81,Good,Storage Construction,367
LOAN_0000114,FARMER_00467,ENT_000467,365000,16.5,2021-02-28,Yes,0,,24,10,Non-creditworthy,1.05,0.41,Bank of Agriculture,2,75.7,4,No,N/A,0.0,None,Mechanization Loan,761
LOAN_0000115,FARMER_00468,ENT_000468,705000,7.0,2018-03-07,Yes,98700,2021-01-01,36,24,Non-creditworthy,0.64,0.68,Bank of Agriculture,0,77.5,4,Yes,Input Price Hike,0.14,Poor,Bundled Services Loan,516
LOAN_0000116,FARMER_00471,ENT_000471,40000,19.1,2015-04-20,Yes,38000,2015-10-29,24,4,Creditworthy,0.56,0.49,Cooperative,1,84.4,5,No,N/A,0.95,Excellent,Mechanization Loan,582
LOAN_0000117,FARMER_00477,ENT_000477,295000,25.7,2022-02-22,No,129800,2022-11-06,24,15,Non-creditworthy,0.52,0.73,Microfinance Bank,4,43.6,5,Yes,Diversion of Funds,0.44,Poor,Input Loan,716
LOAN_0000118,FARMER_00482,ENT_000482,690000,11.6,2021-10-15,Yes,75900,2023-09-21,24,17,Non-creditworthy,1.62,0.56,Family/Friends,3,23.7,6,Yes,Policy Change,0.11,Poor,Mechanization Loan,674
LOAN_0000119,FARMER_00483,ENT_000483,2935000,23.7,2024-02-28,Yes,0,,24,5,Non-creditworthy,4.43,0.69,Commercial Bank,1,57.6,6,No,N/A,0.0,None,Mechanization Loan,740
LOAN_0000120,FARMER_00490,ENT_000490,215000,20.1,2024-04-21,No,193500,2025-05-07,24,23,Creditworthy,0.48,0.73,Informal Lender,2,38.8,4,No,N/A,0.9,Good,Processing Equipment,351
LOAN_0000121,FARMER_00495,ENT_000495,2390000,33.4,2021-01-16,No,382400,2021-11-27,18,6,Non-creditworthy,1.23,0.49,Commercial Bank,2,85.9,1,Yes,Illness of Farmer,0.16,Poor,Storage Construction,415
