state,age,gender,education,household_size,farm_size_hectares,primary_crop,secondary_crop,livestock_type,farming_experience_years,has_bank_account,uses_mobile_money,monthly_income_naira,off_farm_income_naira,utility_payment_score,monthly_mobile_spend_naira,has_smartphone,has_previous_loan,last_loan_amount_naira,loan_product_type,repaid_last_loan_on_time,has_default_history,cooperative_member,cooperative_repayment_rate_percent,last_utility_payment_date,last_rent_payment_date,social_media_usage,ecommerce_activity,total_income,income_per_capita,farm_size_category
Bauchi,18,Male,Primary,5,6.79,Maize,Rice,Cattle,0,False,False,134734,53212,706,3151,True,True,283029,Bundled Services,True,False,True,97,2025-02-07,,Medium,False,187946,37589.2,Medium (5-10ha)
Kebbi,27,Female,Secondary,8,9.69,Maize,Yam,Cattle,7,True,True,186115,76932,371,5327,False,True,369891,Bundled Services,True,False,False,0,2025-02-13,2025-03-28,Low,False,263047,32880.875,Medium (5-10ha)
Jigawa,20,Female,None,3,8.43,Cotton,Sorghum,Goats,1,True,False,111531,18218,357,6411,True,True,38537,Bundled Services,True,False,True,77,2025-03-08,,Low,False,129749,43249.666666666664,Medium (5-10ha)
Cross River,29,Male,None,1,7.61,Cocoa,Rubber,None,2,True,False,37360,16085,842,3895,False,True,451242,Mechanization Services,False,True,True,81,2025-03-30,2025-04-13,High,False,53445,53445.0,Medium (5-10ha)
Ondo,40,Male,Tertiary,12,7.24,Vegetables,Rice,Sheep,17,True,True,156367,55950,401,4113,False,True,83987,Mechanization Services,True,False,False,0,2025-05-02,2025-03-14,High,False,212317,17693.083333333332,Medium (5-10ha)
Bayelsa,19,Female,Secondary,5,8.35,Sorghum,None,Sheep,0,True,False,10086,3791,687,4463,False,True,49402,Farm Inputs,False,True,True,94,2025-02-09,,None,False,13877,2775.4,Medium (5-10ha)
Kebbi,62,Male,Primary,11,3.35,Yam,Maize,Pigs,2,False,True,81162,15290,825,7523,True,True,72670,Farm Inputs,False,True,False,0,2025-03-11,2025-05-03,Medium,True,96452,8768.363636363636,Small (1-5ha)
Kwara,35,Female,Tertiary,2,2.8,Tomato,Cassava,Pigs,5,True,True,109699,12474,504,3549,False,False,0,None,False,False,False,0,2025-03-31,2025-04-17,High,False,122173,61086.5,Small (1-5ha)
Ondo,62,Female,None,3,1.53,Sesame,Millet,Sheep,2,True,False,97073,28510,511,7662,False,False,0,None,False,False,True,87,2025-04-18,2025-04-02,Low,False,125583,41861.0,Small (1-5ha)
Lagos,60,Female,None,10,4.31,Tomato,Millet,Cattle,7,False,False,182801,22114,797,2325,False,True,438205,Bundled Services,True,False,False,0,2025-04-12,2025-04-03,Low,True,204915,20491.5,Small (1-5ha)
Kaduna,28,Male,Secondary,12,9.64,Millet,Soybean,Fish Farming,7,True,True,37064,5556,674,9518,False,False,0,None,False,False,True,97,2025-02-15,2025-04-20,Low,False,42620,3551.6666666666665,Medium (5-10ha)
Kwara,32,Female,Primary,7,8.53,Rubber,Millet,Cattle,1,False,True,94705,15787,598,6046,True,True,430241,Bundled Services,True,False,False,0,2025-03-14,2025-04-25,Low,False,110492,15784.57142857143,Medium (5-10ha)
Delta,33,Male,Secondary,6,6.26,Groundnut,Sorghum,Fish Farming,14,True,False,12543,3805,848,6328,False,True,426495,Mechanization Services,False,True,True,98,2025-03-10,2025-04-24,Medium,False,16348,2724.6666666666665,Medium (5-10ha)
Rivers,52,Female,Secondary,5,2.55,Millet,Cotton,Fish Farming,22,False,False,144515,43905,584,4525,True,False,0,None,False,False,False,0,2025-02-09,2025-03-17,None,False,188420,37684.0,Small (1-5ha)
Kogi,33,Male,Secondary,9,9.52,Cocoa,Rice,Sheep,0,False,True,107001,8139,629,7069,True,True,318315,Farm Inputs,True,False,True,77,2025-03-20,2025-03-10,None,True,115140,12793.333333333334,Medium (5-10ha)
Imo,33,Male,None,3,1.37,Cassava,None,Goats,5,False,True,104297,50246,764,2454,True,True,53312,Bundled Services,False,True,True,96,2025-04-19,2025-04-12,None,False,154543,51514.333333333336,Small (1-5ha)
Bauchi,36,Female,Primary,12,0.45,Millet,Sorghum,Goats,17,False,True,149348,1168,799,8991,True,False,0,None,False,False,False,0,2025-03-12,2025-03-23,High,True,150516,12543.0,Subsistence (<1ha)
Enugu,41,Female,None,8,7.67,Rubber,Soybean,Cattle,11,True,False,96869,13160,632,7015,False,True,176658,Mechanization Services,True,False,True,75,2025-04-30,2025-03-10,Low,False,110029,13753.625,Medium (5-10ha)
Akwa Ibom,20,Male,Secondary,11,0.56,Oil Palm,Cowpea,None,0,True,False,177694,80949,761,2931,False,False,0,None,False,False,True,79,2025-02-27,,None,False,258643,23513.0,Subsistence (<1ha)
Bauchi,61,Female,Secondary,5,7.87,Rubber,Millet,Pigs,15,True,True,164354,17613,619,6268,False,False,0,None,False,False,False,0,2025-05-02,2025-04-21,None,False,181967,36393.4,Medium (5-10ha)
Plateau,35,Female,Tertiary,8,8.73,Rice,Soybean,Fish Farming,10,False,True,142980,6748,655,4265,True,False,0,None,False,False,True,97,2025-03-27,2025-03-23,Low,False,149728,18716.0,Medium (5-10ha)
Edo,33,Female,Secondary,8,4.06,Sesame,Cotton,Pigs,11,False,True,190528,73024,601,1045,False,False,0,None,False,False,True,86,2025-04-06,2025-03-25,Low,True,263552,32944.0,Small (1-5ha)
Gombe,63,Female,None,6,9.17,Yam,Cassava,None,29,False,True,123947,44618,761,7481,False,False,0,None,False,False,True,86,2025-02-16,2025-04-02,Low,True,168565,28094.166666666668,Medium (5-10ha)
Niger,50,Female,None,5,1.26,Cocoa,Millet,Pigs,32,False,False,5664,2190,604,4554,True,False,0,None,False,False,True,92,2025-04-19,2025-03-15,None,False,7854,1570.8,Small (1-5ha)
Jigawa,30,Male,None,5,6.85,Vegetables,Sorghum,Sheep,1,True,False,126304,35996,688,5969,False,True,216495,Mechanization Services,True,False,True,74,2025-04-11,2025-04-28,High,False,162300,32460.0,Medium (5-10ha)
Ebonyi,62,Male,Tertiary,10,3.45,Cotton,Cocoa,Sheep,42,False,False,37588,10532,537,6817,False,True,197395,Mechanization Services,True,False,False,0,2025-04-28,2025-03-27,High,False,48120,4812.0,Small (1-5ha)
Imo,39,Male,Tertiary,11,3.38,Cowpea,Sesame,Pigs,13,False,True,190110,71217,558,8565,False,True,139090,Bundled Services,True,False,False,0,2025-02-21,2025-03-13,None,False,261327,23757.0,Small (1-5ha)
Enugu,21,Male,Tertiary,10,8.91,Groundnut,Vegetables,Pigs,1,False,False,139795,54697,654,9803,False,False,0,None,False,False,False,0,2025-04-23,,None,False,194492,19449.2,Medium (5-10ha)
Lagos,54,Female,None,2,1.81,Yam,Cotton,None,11,False,True,8241,1673,361,7152,True,False,0,None,False,False,False,0,2025-03-03,2025-04-17,High,False,9914,4957.0,Small (1-5ha)
Oyo,60,Female,Tertiary,9,6.39,Cowpea,Yam,Pigs,40,False,False,115951,31435,687,8111,False,True,24373,Bundled Services,True,False,True,89,2025-04-21,2025-03-19,High,True,147386,16376.222222222223,Medium (5-10ha)
Yobe,27,Female,Primary,5,5.61,Sesame,Tomato,Poultry,2,True,True,15565,7244,587,3923,False,True,258728,Mechanization Services,False,True,True,91,2025-03-04,2025-04-16,None,True,22809,4561.8,Medium (5-10ha)
Adamawa,43,Male,Primary,5,0.57,Rice,Sorghum,Poultry,13,False,True,147362,28392,421,6989,True,False,0,None,False,False,True,93,2025-05-01,2025-05-01,Medium,False,175754,35150.8,Subsistence (<1ha)
Lagos,63,Female,Tertiary,2,8.05,Tomato,Sorghum,Cattle,19,True,True,140586,2747,657,8190,False,True,254358,Bundled Services,False,True,False,0,2025-05-04,2025-03-07,Medium,False,143333,71666.5,Medium (5-10ha)
Gombe,19,Male,Tertiary,1,8.65,Vegetables,None,Fish Farming,0,False,False,48825,22114,734,2570,True,False,0,None,False,False,True,80,2025-02-09,,Low,False,70939,70939.0,Medium (5-10ha)
Ekiti,52,Female,Secondary,1,3.11,Yam,Cowpea,Goats,21,True,True,77439,27953,619,8657,True,False,0,None,False,False,True,88,2025-03-15,2025-04-22,Low,False,105392,105392.0,Small (1-5ha)
Taraba,56,Male,Tertiary,6,3.49,Groundnut,Cotton,Fish Farming,2,False,True,35859,2129,617,7736,True,True,60835,Mechanization Services,True,False,True,96,2025-03-04,2025-03-12,Low,False,37988,6331.333333333333,Small (1-5ha)
Imo,24,Female,None,6,8.48,Sorghum,Cotton,Poultry,3,False,False,82831,40658,836,1091,False,False,0,None,False,False,False,0,2025-03-11,2025-04-27,Low,False,123489,20581.5,Medium (5-10ha)
Nasarawa,51,Male,Tertiary,6,6.45,Vegetables,Sorghum,Fish Farming,31,False,False,68225,30218,775,3367,False,False,0,None,False,False,False,0,2025-03-05,2025-04-30,Low,False,98443,16407.166666666668,Medium (5-10ha)
Osun,65,Female,None,10,1.26,Oil Palm,Cassava,Goats,15,True,False,31431,8089,583,3664,True,False,0,None,False,False,True,71,2025-04-13,2025-03-31,High,True,39520,3952.0,Small (1-5ha)
Abia,52,Male,Secondary,1,7.5,Cowpea,Sorghum,Cattle,32,True,False,46823,10691,335,3978,False,True,486893,Mechanization Services,True,False,False,0,2025-05-04,2025-04-30,Medium,True,57514,57514.0,Medium (5-10ha)
Benue,29,Male,Tertiary,6,6.28,Rice,Vegetables,Cattle,6,False,False,135272,65351,741,1265,False,True,287155,Farm Inputs,True,False,True,76,2025-02-14,2025-03-25,Low,False,200623,33437.166666666664,Medium (5-10ha)
Plateau,31,Male,Tertiary,1,8.99,Millet,Soybean,Pigs,13,True,False,125381,48053,460,6728,True,True,406074,Mechanization Services,True,False,True,76,2025-04-10,2025-04-18,Low,True,173434,173434.0,Medium (5-10ha)
Abia,40,Female,Primary,7,8.49,Cowpea,Vegetables,Goats,0,True,False,139336,5535,502,8087,False,True,389045,Mechanization Services,True,False,False,0,2025-03-12,2025-04-15,Medium,False,144871,20695.85714285714,Medium (5-10ha)
Borno,36,Female,None,5,1.03,Cotton,Tomato,Cattle,2,False,True,11871,3433,760,1108,False,False,0,None,False,False,False,0,2025-02-15,2025-04-03,Medium,False,15304,3060.8,Small (1-5ha)
Edo,59,Male,Secondary,3,3.08,Cotton,Oil Palm,Sheep,40,True,False,19244,4905,629,4128,True,True,473132,Bundled Services,False,True,True,76,2025-04-17,2025-04-20,Medium,False,24149,8049.666666666667,Small (1-5ha)
Katsina,22,Male,Primary,10,2.7,Tomato,Millet,Pigs,0,True,True,11409,4602,350,3464,False,True,68089,Mechanization Services,True,False,False,0,2025-03-01,,High,False,16011,1601.1,Small (1-5ha)
Enugu,41,Female,Tertiary,11,4.87,Tomato,None,Cattle,7,True,False,30923,264,527,2795,False,True,89837,Mechanization Services,True,False,True,80,2025-04-27,2025-03-15,High,False,31187,2835.181818181818,Small (1-5ha)
Kebbi,45,Female,Tertiary,3,6.97,Soybean,Yam,Fish Farming,2,False,True,188927,14115,455,3426,True,True,394059,Bundled Services,True,False,True,71,2025-03-12,2025-03-09,Medium,True,203042,67680.66666666667,Medium (5-10ha)
Ekiti,53,Female,Primary,4,0.96,Groundnut,Sesame,Sheep,13,True,True,59674,4786,608,3889,True,False,0,None,False,False,False,0,2025-04-15,2025-03-22,Low,False,64460,16115.0,Subsistence (<1ha)
Lagos,25,Female,Tertiary,5,2.87,Maize,Cassava,None,4,False,False,132837,62406,590,2706,True,False,0,None,False,False,True,81,2025-05-02,2025-04-03,Low,False,195243,39048.6,Small (1-5ha)
Anambra,19,Male,Secondary,7,4.4,Yam,Rice,Cattle,1,True,True,106649,22316,518,3855,False,True,144674,Bundled Services,True,False,False,0,2025-04-06,,Medium,False,128965,18423.571428571428,Small (1-5ha)
Niger,38,Male,Tertiary,1,4.7,Millet,Oil Palm,Goats,0,False,False,175564,17719,441,9813,True,True,244463,Farm Inputs,False,True,True,98,2025-02-20,2025-03-18,Low,False,193283,193283.0,Small (1-5ha)
Imo,61,Male,Secondary,7,5.22,Soybean,None,Pigs,25,False,True,104250,48375,372,5274,True,True,452312,Bundled Services,True,False,False,0,2025-03-30,2025-03-07,High,True,152625,21803.571428571428,Medium (5-10ha)
Abia,40,Female,Secondary,1,0.1,Cassava,None,Goats,4,False,False,37792,9119,643,8373,False,True,493138,Bundled Services,True,False,True,85,2025-04-28,2025-04-02,High,True,46911,46911.0,Subsistence (<1ha)
Edo,31,Male,Secondary,1,6.02,Oil Palm,Maize,Goats,7,True,True,49385,4404,546,5725,False,False,0,None,False,False,True,97,2025-04-09,2025-04-02,Medium,False,53789,53789.0,Medium (5-10ha)
Edo,60,Male,Secondary,2,1.82,Yam,Oil Palm,Sheep,36,False,True,123480,22575,356,7589,True,False,0,None,False,False,False,0,2025-03-07,2025-04-10,High,False,146055,73027.5,Small (1-5ha)
Kebbi,48,Female,Tertiary,11,1.26,Oil Palm,None,Poultry,17,False,False,164506,26229,407,3908,False,True,335740,Farm Inputs,True,False,True,75,2025-05-05,2025-03-22,Medium,False,190735,17339.545454545456,Small (1-5ha)
Bayelsa,65,Female,Secondary,10,4.7,Soybean,Groundnut,Sheep,6,False,True,7207,2727,734,2119,True,False,0,None,False,False,True,99,2025-03-21,2025-04-03,High,False,9934,993.4,Small (1-5ha)
Anambra,32,Female,Primary,8,5.96,Sorghum,Oil Palm,Poultry,8,True,False,8877,3111,749,7540,True,False,0,None,False,False,True,77,2025-02-05,2025-03-29,Low,False,11988,1498.5,Medium (5-10ha)
Niger,45,Female,Primary,1,3.13,Rubber,Yam,Sheep,0,False,True,96811,32886,354,4023,False,True,459085,Mechanization Services,True,False,False,0,2025-04-02,2025-04-06,High,False,129697,129697.0,Small (1-5ha)
Niger,52,Female,Tertiary,4,3.72,Tomato,Cocoa,Cattle,26,False,False,7786,592,705,6253,False,False,0,None,False,False,True,98,2025-03-02,2025-03-07,Medium,False,8378,2094.5,Small (1-5ha)
Cross River,26,Male,Primary,9,7.02,Vegetables,Oil Palm,Sheep,3,True,False,57027,19032,636,6106,False,True,169167,Bundled Services,False,True,False,0,2025-03-22,2025-03-22,High,True,76059,8451.0,Medium (5-10ha)
Plateau,35,Female,Secondary,6,3.04,Groundnut,Sorghum,Pigs,16,False,False,69210,17645,565,9874,False,True,359046,Mechanization Services,True,False,True,93,2025-04-07,2025-03-23,High,True,86855,14475.833333333334,Small (1-5ha)
Osun,51,Female,Primary,4,9.81,Sorghum,Rice,None,29,False,False,115914,17131,478,1540,False,True,200267,Mechanization Services,True,False,True,70,2025-03-09,2025-04-29,None,True,133045,33261.25,Medium (5-10ha)
Bauchi,47,Female,Tertiary,2,7.84,Cocoa,Sesame,Goats,16,False,True,165904,9988,475,8443,False,True,286222,Bundled Services,True,False,True,92,2025-04-09,2025-04-29,Low,False,175892,87946.0,Medium (5-10ha)
Ondo,60,Male,Secondary,2,4.14,Rice,Rubber,Fish Farming,36,True,False,197972,39135,502,6852,True,False,0,None,False,False,False,0,2025-03-31,2025-04-21,Low,False,237107,118553.5,Small (1-5ha)
Bauchi,21,Female,Primary,5,2.29,Yam,Cowpea,Poultry,2,False,True,135344,63158,630,6485,False,False,0,None,False,False,True,74,2025-05-04,,Medium,True,198502,39700.4,Small (1-5ha)
Niger,37,Female,Tertiary,8,7.76,Soybean,Millet,None,6,False,False,53587,16756,397,8385,False,True,477522,Farm Inputs,True,False,True,74,2025-04-21,2025-05-05,Low,False,70343,8792.875,Medium (5-10ha)
Abia,47,Male,Tertiary,11,8.21,Cowpea,Sorghum,Pigs,19,True,False,195247,30376,669,3362,True,False,0,None,False,False,True,84,2025-05-02,2025-04-30,Medium,False,225623,20511.18181818182,Medium (5-10ha)
Edo,50,Male,None,3,6.86,Cowpea,Rice,Goats,0,False,True,98201,36331,635,734,True,False,0,None,False,False,True,73,2025-05-02,2025-03-30,High,False,134532,44844.0,Medium (5-10ha)
Anambra,36,Male,Primary,8,0.3,Cassava,Cocoa,None,14,True,True,181661,90680,564,4180,False,False,0,None,False,False,True,81,2025-02-05,2025-04-27,Medium,True,272341,34042.625,Subsistence (<1ha)
Delta,39,Female,None,9,2.05,Rubber,Yam,Poultry,3,True,False,141143,65510,422,6969,False,False,0,None,False,False,False,0,2025-02-20,2025-03-23,High,False,206653,22961.444444444445,Small (1-5ha)
Anambra,25,Female,Primary,4,7.82,Groundnut,Millet,Sheep,7,True,True,162082,73223,354,3536,False,False,0,None,False,False,True,95,2025-03-03,2025-04-07,High,False,235305,58826.25,Medium (5-10ha)
Ebonyi,38,Female,Tertiary,4,4.31,Rice,Vegetables,Sheep,6,True,True,107707,32898,705,4258,True,False,0,None,False,False,True,88,2025-04-04,2025-04-04,None,False,140605,35151.25,Small (1-5ha)
Oyo,24,Male,Secondary,5,3.43,Cotton,Rice,Goats,4,False,True,158229,53370,754,3291,True,False,0,None,False,False,False,0,2025-03-15,2025-03-31,High,False,211599,42319.8,Small (1-5ha)
Adamawa,36,Female,Primary,6,2.54,Sesame,Rice,None,7,False,False,194103,42207,585,8457,True,False,0,None,False,False,False,0,2025-03-16,2025-03-25,Low,True,236310,39385.0,Small (1-5ha)
Niger,32,Female,Primary,5,7.03,Rubber,Soybean,Poultry,13,False,False,121890,20292,549,2295,False,False,0,None,False,False,True,98,2025-02-24,2025-03-22,Low,True,142182,28436.4,Medium (5-10ha)
Akwa Ibom,46,Male,None,7,2.91,Cowpea,Cocoa,None,8,True,False,193262,41743,779,3265,False,True,386978,Mechanization Services,True,False,False,0,2025-03-01,2025-04-06,None,False,235005,33572.142857142855,Small (1-5ha)
Plateau,64,Male,Tertiary,12,8.3,Cassava,Sorghum,Poultry,25,True,False,80300,335,528,4162,False,False,0,None,False,False,True,96,2025-03-10,2025-04-21,Low,True,80635,6719.583333333333,Medium (5-10ha)
