farmer_id,age,gender,education_level_years,education_category,marital_status,household_size,state,off_farm_income_ngn,farming_experience_years,farm_size_ha,primary_enterprise,annual_farm_income_ngn,operating_expenditure_ngn,value_farm_assets_ngn,cooperative_member,requests_loan,loan_amount_requested_ngn,loan_purpose,interest_rate_annual_perc,loan_tenure_months,disbursement_lag_days,loan_supervision_visits,utility_payment_timeliness,rent_payment_timeliness,phone_bill_timeliness,value_chain_platform_registered,years_on_platform,marketplace_sales_ngn_last_year,soil_type_known,uses_irrigation,pest_disease_control_method,yield_rating_score_1_10,yield_consistency_rating,post_harvest_loss_perc,smartphone_owner,mobile_money_usage_frequency,active_on_agri_forums,distance_to_market_km,distance_to_lender_km,simulated_creditworthiness_score,loan_repayment_status
FARMER_1016,25,Male,0,None,Single,11,Cross River,0.0,9,7.57,Cocoa,1739998.42,1317523.1,4665234.55,True,False,0.0,N/A,0.0,0,0,0,Good,Fair,Poor,False,0,0.0,True,False,Traditional,5,Low,9.69,True,Monthly,False,21.9,0.0,,N/A
FARMER_1017,46,Female,6,Primary Complete,Married,14,Yobe,42535.79,22,2.99,Sorghum,364573.69,211488.17,1083732.45,False,True,1860000.0,Input Loan,20.2,3,38,1,Good,Excellent,Good,False,0,0.0,False,False,Organic,6,Low,21.01,True,Weekly,False,21.2,120.8,2.0,Defaulted
FARMER_1018,43,Male,6,Primary Complete,Married,10,Yobe,30281.29,10,8.23,Maize,1209550.46,701305.51,2251920.95,False,True,600000.0,Land Expansion,22.68,12,67,5,Poor,Good,Poor,False,0,0.0,True,False,Modern Chemical,7,High,31.28,True,Rarely,False,52.9,16.7,2.0,Fully Repaid
FARMER_1019,65,Female,0,None,Married,11,Sokoto,0.0,3,5.49,Maize,671342.37,309043.07,1742499.82,True,True,170000.0,Land Expansion,34.09,3,40,4,Good,Good,Excellent,False,0,0.0,False,False,Organic,5,Medium,30.72,False,Never,False,55.7,16.7,3.0,Defaulted
FARMER_1020,36,Male,6,Primary Complete,Married,12,Ekiti,126638.3,20,36.51,Millet,4537208.69,2950007.43,14760004.74,False,True,1220000.0,Working Capital,16.72,3,36,4,Fair,N/A,Fair,False,0,0.0,False,False,None,3,High,25.2,False,Never,False,36.5,55.2,2.0,Partially Repaid
FARMER_1021,38,Male,14,OND/NCE,Married,11,Imo,118565.58,22,7.31,Cocoa,1941045.55,1253448.11,5837630.11,False,True,1230000.0,Bundled Services Loan,15.25,18,41,3,Excellent,Good,Poor,False,0,0.0,False,True,Organic,5,Medium,35.26,False,Never,False,52.2,59.2,4.0,Fully Repaid
FARMER_1022,42,Female,9,Secondary Incomplete,Married,6,Imo,0.0,14,0.48,Goats/Sheep,104907.55,74324.62,129278.47,False,True,1330000.0,Bundled Services Loan,16.51,12,52,1,Good,Fair,Excellent,True,5,40645.85,True,False,Organic,6,Medium,27.52,False,Never,False,28.4,93.0,4.0,Partially Repaid
FARMER_1023,19,Female,0,None,Married,5,Benue,0.0,3,9.4,Millet,873471.54,641056.43,2074556.19,False,True,1030000.0,Working Capital,13.71,6,36,5,Excellent,N/A,Fair,False,0,0.0,True,False,Modern Chemical,5,High,18.11,False,Never,False,55.4,35.9,3.0,Partially Repaid
FARMER_1024,52,Male,6,Primary Complete,Married,2,Ebonyi,43567.52,25,0.38,Maize,38558.77,28440.75,103498.36,False,True,1870000.0,Mechanization Loan,18.67,9,40,0,Excellent,Excellent,Poor,False,0,0.0,False,False,Organic,6,High,12.59,False,Never,False,10.0,57.7,3.0,Fully Repaid
FARMER_1025,34,Male,14,OND/NCE,Married,13,Cross River,0.0,9,33.96,Goats/Sheep,1208349.53,762406.18,3074848.54,True,True,1940000.0,Bundled Services Loan,33.22,12,46,3,Excellent,Good,Excellent,True,2,101531.04,False,False,Modern Chemical,6,Medium,11.09,True,Never,False,54.8,6.2,7.0,Fully Repaid
FARMER_1026,49,Male,9,Secondary Incomplete,Married,5,Nasarawa,0.0,8,5.93,Yam,1185683.33,622375.29,3281110.47,True,True,1070000.0,Working Capital,34.13,9,71,5,Excellent,N/A,Excellent,False,0,0.0,True,True,None,5,Low,12.25,True,Weekly,False,10.5,47.0,4.0,Fully Repaid
FARMER_1027,41,Female,3,Primary Incomplete,Married,9,Bayelsa,0.0,25,5.04,Millet,598402.61,333671.38,1931360.26,False,False,0.0,N/A,0.0,0,0,0,Excellent,Excellent,Excellent,True,3,291865.22,False,True,None,5,Medium,5.18,False,Never,False,22.6,0.0,,N/A
FARMER_1028,40,Female,12,Secondary Complete,Single,8,Delta,0.0,18,4.97,Oil Palm,1198039.14,485647.34,3796076.94,False,True,1860000.0,Land Expansion,23.89,18,81,1,Good,Poor,Poor,False,0,0.0,False,False,None,3,High,33.4,True,Monthly,False,20.2,121.2,3.0,Defaulted
FARMER_1029,18,Male,6,Primary Complete,Married,3,Imo,208077.24,2,16.21,Cassava,2035225.0,1472339.62,5008859.89,False,True,1960000.0,Input Loan,19.59,12,84,0,Fair,Excellent,Good,False,0,0.0,False,False,Organic,6,Low,27.55,True,Weekly,False,13.6,118.0,1.0,Partially Repaid
FARMER_1030,35,Female,9,Secondary Incomplete,Married,11,Benue,278582.62,19,9.07,Maize,780701.57,383664.06,2232841.2,False,True,920000.0,Bundled Services Loan,28.33,12,8,4,Poor,N/A,Poor,False,0,0.0,True,False,Organic,5,High,19.63,True,Monthly,False,7.4,73.4,3.0,Fully Repaid
FARMER_1031,40,Female,3,Primary Incomplete,Married,14,Abia,243954.21,9,0.81,Goats/Sheep,187149.07,77359.88,359655.9,True,False,0.0,N/A,0.0,0,0,0,Fair,Poor,Good,False,0,0.0,True,False,Integrated Pest Management,5,Medium,7.56,False,Never,False,42.7,0.0,,N/A
FARMER_1032,57,Male,6,Primary Complete,Married,6,Akwa Ibom,0.0,10,0.93,Aquaculture,582277.04,394183.34,811888.84,False,True,1000000.0,Asset Acquisition,16.09,18,23,3,Fair,N/A,Excellent,False,0,0.0,False,False,None,3,Low,25.55,True,Monthly,False,5.4,61.0,1.0,Defaulted
FARMER_1033,46,Male,12,Secondary Complete,Married,13,Imo,0.0,20,13.39,Poultry,2316416.98,1757143.68,6022833.52,False,True,1380000.0,Asset Acquisition,26.25,3,86,3,Excellent,Poor,Poor,False,0,0.0,False,False,Traditional,6,High,6.75,True,Monthly,False,16.2,33.5,4.0,Fully Repaid
FARMER_1034,53,Female,0,None,Married,5,Kebbi,0.0,14,6.76,Yam,936671.96,507530.08,2964320.44,False,False,0.0,N/A,0.0,0,0,0,Fair,Fair,Excellent,False,0,0.0,False,False,Traditional,5,High,29.94,True,Weekly,False,39.2,0.0,,N/A
FARMER_1035,41,Female,9,Secondary Incomplete,Married,13,Plateau,0.0,5,37.37,Poultry,3173344.22,1557012.17,6962558.72,False,True,620000.0,Bundled Services Loan,19.0,9,46,3,Fair,N/A,Fair,True,0,0.0,True,False,Integrated Pest Management,7,Low,12.4,True,Weekly,False,52.0,148.0,1.0,Partially Repaid
FARMER_1036,31,Female,6,Primary Complete,Married,11,Ekiti,0.0,15,0.28,Rice,34990.29,20307.05,75235.81,False,True,1440000.0,Asset Acquisition,26.85,18,70,2,Good,N/A,Fair,True,2,25098.17,True,True,Integrated Pest Management,8,Medium,8.87,False,Never,False,39.8,129.5,4.0,Partially Repaid
FARMER_1037,26,Male,3,Primary Incomplete,Married,9,Akwa Ibom,0.0,10,8.88,Vegetables,2026209.62,1247174.27,4306885.51,False,True,550000.0,Working Capital,32.41,6,55,5,Poor,N/A,Fair,False,0,0.0,True,False,Traditional,6,High,38.71,True,Weekly,False,16.2,57.5,-1.0,Defaulted
FARMER_1038,32,Female,9,Secondary Incomplete,Married,6,Adamawa,20702.97,16,42.62,Millet,4742586.34,3661611.14,9949555.03,False,False,0.0,N/A,0.0,0,0,0,Fair,Fair,Excellent,True,2,1126684.34,True,False,Modern Chemical,6,Medium,24.03,True,Rarely,False,35.7,0.0,,N/A
FARMER_1039,45,Female,12,Secondary Complete,Married,4,Ogun,0.0,17,45.42,Rice,5104110.25,3505422.61,17165021.83,False,True,280000.0,Asset Acquisition,21.48,6,27,2,Fair,Good,Good,False,0,0.0,True,True,Integrated Pest Management,6,Medium,28.78,False,Never,False,44.8,130.6,2.0,Fully Repaid
FARMER_1040,33,Female,0,None,Married,11,Gombe,266863.58,11,6.5,Aquaculture,3523386.49,2311363.56,7197667.24,True,True,270000.0,Input Loan,14.5,3,34,3,Excellent,Good,Excellent,True,3,1716431.99,True,False,Organic,6,High,21.67,True,Rarely,False,8.4,17.8,8.0,Fully Repaid
FARMER_1041,44,Male,6,Primary Complete,Widowed,9,Kogi,296041.71,2,4.02,Goats/Sheep,990829.97,575552.61,1557201.18,False,True,590000.0,Bundled Services Loan,23.12,6,59,5,Good,Fair,Fair,False,0,0.0,False,True,None,5,Medium,21.48,False,Never,False,8.0,62.6,4.0,Fully Repaid
FARMER_1042,24,Male,12,Secondary Complete,Single,12,Plateau,0.0,8,2.95,Goats/Sheep,953435.52,447567.95,1412687.17,False,False,0.0,N/A,0.0,0,0,0,Poor,N/A,Fair,True,1,320433.57,True,False,Integrated Pest Management,5,Low,21.78,False,Never,False,36.9,0.0,,N/A
FARMER_1043,64,Male,3,Primary Incomplete,Married,6,Ondo,0.0,30,9.15,Oil Palm,2579312.79,1423969.34,7561536.16,False,False,0.0,N/A,0.0,0,0,0,Good,N/A,Excellent,False,0,0.0,False,False,Traditional,6,Low,34.3,True,Monthly,False,31.8,0.0,,N/A
FARMER_1044,56,Female,12,Secondary Complete,Married,3,Kebbi,0.0,1,7.95,Rice,1075059.83,840686.98,1489995.18,False,True,1550000.0,Bundled Services Loan,12.34,3,64,1,Excellent,N/A,Excellent,False,0,0.0,True,False,Integrated Pest Management,5,Low,9.51,True,Weekly,False,51.9,26.9,4.0,Partially Repaid
FARMER_1045,25,Female,12,Secondary Complete,Married,4,Lagos,0.0,9,7.38,Vegetables,1779948.3,927373.99,3611741.99,False,True,550000.0,Asset Acquisition,12.75,9,86,5,Fair,Good,Excellent,False,0,0.0,False,True,None,4,Medium,11.23,False,Never,False,51.7,66.2,4.0,Defaulted
FARMER_1046,47,Female,14,OND/NCE,Married,9,Katsina,0.0,1,3.15,Millet,257880.05,149210.6,897813.77,False,True,1850000.0,Land Expansion,26.71,6,84,1,Excellent,N/A,Excellent,False,0,0.0,True,False,Integrated Pest Management,7,Medium,21.84,True,Weekly,True,50.2,33.7,5.0,Partially Repaid
FARMER_1047,49,Female,0,None,Married,13,Bauchi,78623.74,31,6.13,Poultry,2948043.8,1665384.5,5221097.52,False,False,0.0,N/A,0.0,0,0,0,Excellent,Poor,Poor,False,0,0.0,False,False,Traditional,6,High,17.08,True,Weekly,False,33.6,0.0,,N/A
FARMER_1048,43,Female,6,Primary Complete,Married,9,FCT,297368.16,23,4.6,Oil Palm,984590.83,683038.31,1331147.2,True,False,0.0,N/A,0.0,0,0,0,Good,Good,Good,False,0,0.0,True,False,Integrated Pest Management,5,Low,27.89,False,Never,False,12.1,0.0,,N/A
FARMER_1049,27,Female,9,Secondary Incomplete,Married,6,Plateau,0.0,11,5.32,Sorghum,425581.34,338093.12,779931.33,True,True,510000.0,Input Loan,34.33,3,37,4,Excellent,Good,Poor,True,1,2116.58,True,False,Organic,4,Low,31.97,True,Monthly,False,13.2,102.9,2.0,Fully Repaid
FARMER_1050,24,Male,12,Secondary Complete,Single,6,Niger,0.0,8,0.79,Poultry,494716.74,277253.41,1181583.1,False,True,1600000.0,Asset Acquisition,30.99,24,30,3,Excellent,Good,Good,False,0,0.0,False,False,Integrated Pest Management,5,Low,26.55,True,Never,False,25.7,8.4,2.0,Fully Repaid
FARMER_1051,38,Female,14,OND/NCE,Single,12,Gombe,0.0,22,8.61,Oil Palm,2045249.94,1411311.06,5612582.72,True,False,0.0,N/A,0.0,0,0,0,Good,N/A,Excellent,True,3,1366269.89,True,False,Modern Chemical,5,High,38.13,False,Never,False,60.2,0.0,,N/A
FARMER_1052,33,Male,12,Secondary Complete,Married,14,Ebonyi,0.0,17,0.91,Sorghum,108590.27,81042.61,327893.53,False,True,1990000.0,Input Loan,26.28,9,35,3,Poor,N/A,Good,False,0,0.0,True,True,Integrated Pest Management,8,Medium,16.06,True,Rarely,True,5.4,109.7,1.0,Defaulted
FARMER_1053,65,Female,6,Primary Complete,Married,9,Ondo,0.0,30,31.67,Poultry,2586733.91,1758145.8,6124014.52,False,True,1510000.0,Mechanization Loan,16.81,18,42,2,Good,Good,Fair,False,0,0.0,False,False,Integrated Pest Management,6,Low,19.21,True,Weekly,False,59.7,24.4,1.0,Partially Repaid
FARMER_1054,25,Female,12,Secondary Complete,Married,7,FCT,0.0,9,2.38,Yam,347106.3,224679.04,903316.23,False,True,180000.0,Asset Acquisition,28.01,18,62,1,Excellent,Fair,Good,False,0,0.0,False,False,Traditional,6,High,38.26,False,Never,False,51.9,29.1,2.0,Partially Repaid
FARMER_1055,41,Male,16,HND/BSc,Married,12,Nasarawa,72279.4,25,2.56,Oil Palm,585387.27,456080.33,1603232.41,True,True,570000.0,Input Loan,31.02,12,58,1,Fair,N/A,Poor,True,4,80881.83,True,True,Modern Chemical,6,Low,25.58,True,Weekly,False,36.7,130.0,4.0,Fully Repaid
FARMER_1056,62,Male,6,Primary Complete,Single,9,Ondo,0.0,14,34.18,Oil Palm,7655980.07,3588419.64,9506239.42,False,False,0.0,N/A,0.0,0,0,0,Good,Excellent,Good,False,0,0.0,True,True,Traditional,5,Medium,38.03,True,Rarely,False,18.2,0.0,,N/A
FARMER_1057,47,Male,6,Primary Complete,Single,9,Benue,0.0,21,3.06,Yam,561797.96,294874.82,938316.33,False,True,1010000.0,Input Loan,25.3,3,88,2,Excellent,Fair,Excellent,True,2,361313.68,False,False,Traditional,6,High,31.45,True,Monthly,True,38.0,144.2,6.0,Fully Repaid
FARMER_1058,21,Male,0,None,Widowed,7,Zamfara,0.0,2,6.53,Goats/Sheep,1643625.87,1036434.0,4283638.63,False,False,0.0,N/A,0.0,0,0,0,Poor,Excellent,Poor,True,1,758869.17,True,False,Organic,6,Medium,13.62,False,Never,False,65.8,0.0,,N/A
FARMER_1059,45,Female,0,None,Married,11,Rivers,127738.34,29,2.11,Goats/Sheep,614362.38,388463.25,803147.44,False,True,860000.0,Working Capital,26.13,12,87,2,Poor,N/A,Good,True,2,74439.31,True,False,Traditional,6,Medium,33.58,True,Weekly,False,9.5,50.3,3.0,Fully Repaid
FARMER_1060,58,Male,9,Secondary Incomplete,Married,10,Bayelsa,217517.36,14,9.37,Maize,1162281.68,729034.21,2638936.32,True,True,1660000.0,Mechanization Loan,33.44,12,80,5,Good,N/A,Excellent,False,0,0.0,False,True,Modern Chemical,6,High,38.73,False,Never,False,50.2,107.4,3.0,Partially Repaid
FARMER_1061,55,Female,16,HND/BSc,Married,12,Nasarawa,0.0,35,47.65,Goats/Sheep,1079845.49,624722.37,4070801.23,False,False,0.0,N/A,0.0,0,0,0,Good,Poor,Good,True,5,574511.47,True,False,Modern Chemical,6,Medium,9.15,False,Never,False,19.2,0.0,,N/A
FARMER_1062,44,Female,12,Secondary Complete,Married,8,Akwa Ibom,0.0,20,2.93,Maize,291766.89,181430.17,884979.63,False,True,1820000.0,Bundled Services Loan,31.89,12,77,1,Fair,Fair,Fair,False,0,0.0,True,False,Organic,6,Low,36.78,False,Never,False,5.0,67.0,-2.0,Partially Repaid
FARMER_1063,31,Female,9,Secondary Incomplete,Married,10,Anambra,0.0,2,5.82,Sorghum,692852.34,415421.65,1787870.83,False,True,700000.0,Mechanization Loan,15.49,24,80,2,Poor,N/A,Fair,True,2,114991.15,False,True,Organic,7,Medium,10.48,False,Never,False,45.2,14.9,4.0,Partially Repaid
FARMER_1064,39,Female,14,OND/NCE,Married,5,Kebbi,0.0,15,10.25,Millet,782539.16,604964.38,2331575.87,False,True,620000.0,Land Expansion,25.58,24,65,4,Excellent,Excellent,Excellent,False,0,0.0,True,False,Modern Chemical,6,Medium,27.12,False,Never,False,69.9,97.3,5.0,Partially Repaid
FARMER_1065,62,Male,9,Secondary Incomplete,Widowed,10,Anambra,0.0,22,3.05,Maize,306355.03,221294.87,1052624.77,False,False,0.0,N/A,0.0,0,0,0,Fair,Excellent,Good,False,0,0.0,False,True,Modern Chemical,6,Medium,22.36,True,Weekly,True,26.9,0.0,,N/A
FARMER_1066,41,Male,6,Primary Complete,Married,15,Nasarawa,0.0,3,7.24,Poultry,2506090.23,1756146.67,5422124.57,False,True,830000.0,Mechanization Loan,32.66,18,15,5,Excellent,Good,Poor,False,0,0.0,True,False,Organic,4,High,7.55,True,Monthly,False,68.3,123.0,2.0,Fully Repaid
FARMER_1067,26,Male,9,Secondary Incomplete,Married,14,Plateau,0.0,10,8.68,Millet,773756.23,464528.29,1965210.14,True,True,240000.0,Input Loan,28.83,18,31,5,Excellent,Fair,Poor,False,0,0.0,False,False,Organic,6,High,29.3,True,Weekly,False,15.5,112.6,4.0,Partially Repaid
FARMER_1068,25,Male,0,None,Married,3,Imo,0.0,9,9.07,Vegetables,1425627.15,1098662.47,2939596.09,False,True,1570000.0,Working Capital,17.02,24,81,4,Fair,Fair,Poor,False,0,0.0,True,False,Modern Chemical,5,High,26.38,False,Never,False,10.5,76.8,1.0,Partially Repaid
FARMER_1069,31,Female,3,Primary Incomplete,Married,15,Imo,254734.83,3,8.41,Yam,1787419.05,1323763.78,4781059.68,True,True,1280000.0,Mechanization Loan,20.15,12,28,5,Excellent,N/A,Fair,False,0,0.0,True,False,None,3,Medium,11.37,False,Never,False,56.1,55.9,5.0,Fully Repaid
FARMER_1070,62,Male,12,Secondary Complete,Married,5,Bayelsa,0.0,36,8.17,Cocoa,2294594.36,1706690.6,7288986.16,False,False,0.0,N/A,0.0,0,0,0,Poor,Good,Poor,False,0,0.0,False,True,Modern Chemical,7,High,21.8,True,Monthly,True,45.7,0.0,,N/A
FARMER_1071,60,Female,12,Secondary Complete,Married,4,Oyo,0.0,39,8.9,Aquaculture,2857039.59,1494879.16,4499485.98,False,False,0.0,N/A,0.0,0,0,0,Fair,Excellent,Excellent,True,1,890028.4,False,True,Traditional,7,High,30.47,True,Monthly,True,62.0,0.0,,N/A
FARMER_1072,45,Male,0,None,Single,11,Bauchi,0.0,29,3.93,Cassava,530605.24,395361.45,1669594.06,False,False,0.0,N/A,0.0,0,0,0,Good,Excellent,Fair,False,0,0.0,True,False,Integrated Pest Management,6,Medium,18.23,False,Never,False,31.6,0.0,,N/A
FARMER_1073,41,Female,0,None,Married,8,Borno,0.0,6,20.01,Maize,2345335.11,1449266.8,7519974.85,True,True,1890000.0,Bundled Services Loan,24.75,3,11,1,Fair,Excellent,Excellent,True,5,68881.91,True,True,Integrated Pest Management,8,High,21.81,False,Never,False,6.9,107.9,5.0,Fully Repaid
FARMER_1074,23,Female,9,Secondary Incomplete,Married,2,Kano,0.0,7,5.33,Vegetables,958027.99,554561.09,2475110.32,False,False,0.0,N/A,0.0,0,0,0,Fair,Excellent,Good,False,0,0.0,True,False,None,4,Medium,35.54,True,Weekly,False,54.7,0.0,,N/A
FARMER_1075,58,Male,12,Secondary Complete,Married,9,Bayelsa,0.0,5,5.4,Oil Palm,1318039.59,736759.74,4096024.0,True,True,1990000.0,Bundled Services Loan,22.94,24,17,0,Poor,N/A,Poor,True,4,336105.73,False,False,None,5,Low,22.87,True,Daily,False,45.3,111.5,5.0,Fully Repaid
FARMER_1076,57,Female,12,Secondary Complete,Married,3,Gombe,75353.31,37,47.47,Aquaculture,2295279.95,1224796.67,8454963.4,False,True,1570000.0,Input Loan,27.44,6,77,3,Good,Excellent,Excellent,True,1,1525966.29,False,False,Organic,5,Low,37.76,False,Never,False,41.1,94.0,6.0,Fully Repaid
FARMER_1077,23,Female,6,Primary Complete,Married,2,Imo,0.0,7,8.27,Maize,1272399.81,950227.42,3044549.84,False,True,1670000.0,Mechanization Loan,25.12,24,9,4,Poor,Poor,Fair,False,0,0.0,True,False,Integrated Pest Management,6,Low,39.62,True,Rarely,False,15.3,7.3,-1.0,Fully Repaid
FARMER_1078,30,Female,12,Secondary Complete,Married,10,Lagos,204849.97,14,4.94,Poultry,1945836.43,1426772.05,4924887.79,False,True,1620000.0,Bundled Services Loan,14.96,18,40,3,Excellent,Excellent,Good,False,0,0.0,True,False,None,3,Medium,21.58,True,Rarely,True,34.9,11.4,5.0,Fully Repaid
FARMER_1079,60,Male,9,Secondary Incomplete,Widowed,11,Cross River,160000.29,32,2.71,Sorghum,378119.38,250929.92,797786.0,False,False,0.0,N/A,0.0,0,0,0,Fair,Excellent,Excellent,False,0,0.0,True,False,Modern Chemical,6,Medium,31.74,False,Never,False,63.4,0.0,,N/A
FARMER_1080,40,Male,12,Secondary Complete,Married,14,Bayelsa,0.0,2,0.61,Sorghum,67565.39,49428.19,106091.15,True,False,0.0,N/A,0.0,0,0,0,Poor,Poor,Fair,True,5,6525.34,False,True,Integrated Pest Management,7,Low,9.77,True,Daily,False,22.8,0.0,,N/A
FARMER_1081,38,Male,14,OND/NCE,Married,14,Plateau,263151.96,22,42.7,Rice,5225111.93,3080748.82,16383365.06,False,True,70000.0,Bundled Services Loan,19.39,18,36,5,Good,N/A,Excellent,True,3,311185.17,False,False,Traditional,5,High,13.9,False,Never,False,61.8,54.9,8.0,Fully Repaid
FARMER_1082,42,Male,6,Primary Complete,Married,12,Niger,246307.97,25,7.61,Cocoa,1755425.62,1093477.24,2361467.91,False,False,0.0,N/A,0.0,0,0,0,Poor,Poor,Excellent,False,0,0.0,False,False,None,4,Low,23.66,True,Weekly,False,25.2,0.0,,N/A
FARMER_1083,50,Female,6,Primary Complete,Married,12,Borno,0.0,34,13.98,Poultry,2789124.04,1411871.11,4535870.09,True,True,1630000.0,Mechanization Loan,26.47,9,33,0,Poor,Fair,Fair,False,0,0.0,False,False,Traditional,4,Medium,39.68,False,Never,False,14.5,72.3,2.0,Fully Repaid
FARMER_1084,22,Male,6,Primary Complete,Married,12,Anambra,114457.99,3,23.43,Maize,3309851.78,1328264.86,11076088.14,False,False,0.0,N/A,0.0,0,0,0,Good,Fair,Good,True,4,927404.6,True,True,Modern Chemical,6,Low,7.79,True,Weekly,False,26.0,0.0,,N/A
