Loan_ID,Farmer_ID,Enterprise_ID,Loan_Amount,Interest_Rate,Loan_Date,Loan_Use_Status,Loan_Repayment_Amount,Repayment_Date,Duration_Months,Loan_Use_Duration,Credit_Worthiness_Status,Loan_Asset_Ratio,OpEx_Income_Ratio,Loan_Source,Loan_Supervision_Frequency,Distance_to_Lender,Disbursement_Lag,Has_Defaulted,Default_Reason
LOAN_0000012,FARMER_00007,ENT_000013,850000,31.5,2023-10-24,Yes,1117750,2024-10-18,12,3,Non-creditworthy,0.05,0.4,Commercial Bank,1,73.9,2,No,N/A
LOAN_0000013,FARMER_00008,ENT_000014,475000,34.0,2019-06-21,No,959500,2022-06-05,36,2,Creditworthy,0.03,0.66,Commercial Bank,2,18.7,2,No,N/A
LOAN_0000014,FARMER_00009,ENT_000015,1450000,26.6,2024-09-10,No,342960,,18,5,Creditworthy,0.48,0.77,Microfinance Bank,3,66.8,3,No,N/A
LOAN_0000015,FARMER_00009,ENT_000015,1200000,32.1,2024-07-18,Yes,412693,,18,11,Creditworthy,0.4,0.77,Bank of Agriculture,3,44.8,1,No,N/A
LOAN_0000016,FARMER_00009,ENT_000016,60000,33.6,2023-11-10,Yes,7664,2024-07-07,12,10,Non-creditworthy,0.0,0.61,Government Program,0,46.1,5,Yes,Pest Attack
LOAN_0000017,FARMER_00010,ENT_000017,295000,34.6,2023-08-20,No,37561,,36,31,Non-creditworthy,0.0,0.74,Cooperative,1,84.1,2,No,N/A
LOAN_0000018,FARMER_00010,ENT_000018,190000,31.8,2016-03-05,Yes,310840,2018-02-23,24,23,Creditworthy,0.0,0.43,Commercial Bank,3,41.4,4,No,N/A
LOAN_0000019,FARMER_00011,ENT_000020,645000,5.8,2021-03-28,No,211213,2021-07-26,12,8,Non-creditworthy,0.35,0.61,Cooperative,2,76.4,3,Yes,Drought/Flood
LOAN_0000020,FARMER_00011,ENT_000020,815000,30.0,2019-02-16,Yes,546989,2020-05-11,36,5,Non-creditworthy,0.44,0.61,Government Program,5,5.0,0,Yes,Pest Attack
LOAN_0000021,FARMER_00011,ENT_000022,35000,8.6,2024-01-12,No,17098,2024-02-11,18,14,Non-creditworthy,0.36,0.44,Government Program,3,11.4,2,Yes,Policy Change
LOAN_0000022,FARMER_00011,ENT_000022,40000,18.1,2023-11-09,No,23393,,24,9,Non-creditworthy,0.42,0.44,Government Program,1,83.2,0,No,N/A
LOAN_0000023,FARMER_00012,ENT_000023,90000,33.4,2017-04-24,No,150120,2019-04-14,24,8,Non-creditworthy,0.0,0.64,Family/Friends,5,49.6,6,No,N/A
LOAN_0000024,FARMER_00012,ENT_000023,95000,13.8,2022-12-08,No,42064,,36,23,Non-creditworthy,0.0,0.64,Family/Friends,4,33.7,5,No,N/A
LOAN_0000025,FARMER_00013,ENT_000024,155000,21.0,2019-01-02,No,187550,2019-12-28,12,8,Creditworthy,0.0,0.52,Commercial Bank,0,57.8,3,No,N/A
LOAN_0000026,FARMER_00014,ENT_000026,195000,22.7,2021-05-19,Yes,327795,2024-05-03,36,7,Creditworthy,0.0,0.61,Family/Friends,1,27.2,0,No,N/A
LOAN_0000027,FARMER_00014,ENT_000027,135000,23.8,2020-07-04,Yes,167130,2021-06-29,12,3,Creditworthy,0.45,0.58,Commercial Bank,1,79.5,4,No,N/A
LOAN_0000028,FARMER_00015,ENT_000028,430000,35.0,2024-10-02,Yes,152127,,24,9,Creditworthy,0.02,0.67,Informal Lender,3,63.8,3,No,N/A
LOAN_0000029,FARMER_00015,ENT_000028,435000,19.1,2024-06-11,Yes,241398,,12,5,Non-creditworthy,0.02,0.67,Government Program,4,4.6,0,No,N/A
LOAN_0000030,FARMER_00016,ENT_000029,140000,13.6,2022-02-01,Yes,159040,2023-01-27,12,1,Non-creditworthy,0.0,0.7,Commercial Bank,1,99.2,0,No,N/A
LOAN_0000031,FARMER_00016,ENT_000029,310000,8.5,2017-08-23,No,389050,2020-08-07,36,27,Non-creditworthy,0.01,0.7,Bank of Agriculture,1,46.2,1,No,N/A
LOAN_0000032,FARMER_00017,ENT_000030,150000,9.5,2023-08-12,No,45265,,36,21,Creditworthy,0.0,0.52,Family/Friends,1,57.6,1,No,N/A
LOAN_0000033,FARMER_00017,ENT_000030,240000,17.3,2020-12-16,No,323040,2022-12-06,24,21,Creditworthy,0.01,0.52,Bank of Agriculture,0,13.5,4,No,N/A
LOAN_0000034,FARMER_00017,ENT_000031,1670000,7.2,2023-06-20,No,1730120,2023-12-17,6,6,Non-creditworthy,0.08,0.41,Cooperative,5,72.2,6,No,N/A
LOAN_0000035,FARMER_00017,ENT_000031,945000,21.2,2021-04-21,No,1145340,2022-04-16,12,7,Creditworthy,0.05,0.41,Government Program,5,70.7,0,No,N/A
LOAN_0000036,FARMER_00018,ENT_000032,195000,32.4,2020-04-15,No,321360,2022-04-05,24,1,Creditworthy,0.0,0.64,Government Program,3,90.2,5,No,N/A
LOAN_0000037,FARMER_00018,ENT_000032,355000,7.2,2021-10-10,No,393340,2023-04-03,18,10,Creditworthy,0.0,0.64,Microfinance Bank,3,85.5,0,No,N/A
LOAN_0000038,FARMER_00018,ENT_000033,320000,32.1,2024-04-20,No,422720,2025-04-15,12,10,Creditworthy,0.31,0.79,Cooperative,5,75.8,6,No,N/A
LOAN_0000039,FARMER_00018,ENT_000033,405000,30.2,2024-11-21,Yes,10810,,18,12,Creditworthy,0.39,0.79,Family/Friends,1,9.9,2,No,N/A
LOAN_0000040,FARMER_00018,ENT_000034,585000,29.9,2020-08-26,No,847372,2022-02-17,18,15,Creditworthy,0.06,0.75,Commercial Bank,1,75.7,1,No,N/A
LOAN_0000041,FARMER_00018,ENT_000034,555000,26.7,2021-09-12,Yes,234179,2022-12-06,24,12,Non-creditworthy,0.06,0.75,Family/Friends,5,67.6,4,Yes,Input Price Hike
LOAN_0000042,FARMER_00019,ENT_000035,445000,21.2,2024-12-24,Yes,296795,,24,20,Non-creditworthy,0.28,0.58,Cooperative,0,69.3,1,No,N/A
LOAN_0000043,FARMER_00019,ENT_000035,310000,33.5,2020-02-22,No,621550,2023-02-06,36,23,Creditworthy,0.19,0.58,Bank of Agriculture,2,19.8,0,No,N/A
LOAN_0000044,FARMER_00020,ENT_000038,495000,18.6,2019-10-02,No,679140,2021-09-21,24,1,Creditworthy,0.01,0.59,Commercial Bank,3,84.9,3,No,N/A
LOAN_0000045,FARMER_00020,ENT_000038,555000,19.7,2023-02-03,No,97522,2024-10-25,36,25,Non-creditworthy,0.01,0.59,Informal Lender,4,30.2,4,Yes,Input Price Hike
LOAN_0000046,FARMER_00021,ENT_000039,515000,25.6,2021-02-03,Yes,580920,2021-08-02,6,6,Non-creditworthy,0.01,0.57,Government Program,1,56.1,4,No,N/A
LOAN_0000047,FARMER_00021,ENT_000040,330000,26.6,2021-10-10,No,373890,2022-04-08,6,2,Creditworthy,0.0,0.54,Family/Friends,3,23.2,0,No,N/A
LOAN_0000048,FARMER_00022,ENT_000042,420000,16.1,2020-10-20,Yes,453810,2021-04-18,6,5,Creditworthy,0.24,0.61,Family/Friends,0,27.9,5,No,N/A
LOAN_0000049,FARMER_00023,ENT_000044,635000,20.0,2023-02-13,Yes,414463,2024-01-09,24,19,Non-creditworthy,0.05,0.57,Bank of Agriculture,4,41.0,5,Yes,Input Price Hike
LOAN_0000050,FARMER_00023,ENT_000044,325000,17.2,2023-03-26,No,197174,2023-11-21,18,14,Non-creditworthy,0.03,0.57,Informal Lender,3,52.9,3,Yes,Drought/Flood
LOAN_0000051,FARMER_00024,ENT_000045,180000,27.8,2016-03-25,No,280080,2018-03-15,24,19,Non-creditworthy,0.0,0.46,Family/Friends,4,64.7,4,No,N/A
LOAN_0000052,FARMER_00024,ENT_000045,280000,34.1,2020-03-15,Yes,470960,2022-03-05,24,10,Non-creditworthy,0.0,0.46,Informal Lender,0,35.8,0,No,N/A
LOAN_0000053,FARMER_00025,ENT_000047,615000,23.3,2021-06-10,No,901590,2023-05-31,24,22,Creditworthy,0.02,0.42,Informal Lender,0,79.1,5,No,N/A
LOAN_0000054,FARMER_00026,ENT_000048,1050000,29.4,2024-02-21,No,304582,,36,12,Creditworthy,0.03,0.43,Microfinance Bank,2,94.8,3,No,N/A
LOAN_0000055,FARMER_00026,ENT_000048,375000,35.0,2021-02-10,Yes,768750,2024-01-26,36,34,Creditworthy,0.01,0.43,Commercial Bank,5,34.3,6,No,N/A
LOAN_0000056,FARMER_00027,ENT_000049,605000,20.1,2021-03-27,Yes,151251,2023-10-13,36,24,Non-creditworthy,0.45,0.79,Informal Lender,0,71.4,4,Yes,Low/Poor Yield
LOAN_0000057,FARMER_00028,ENT_000054,420000,28.6,2023-09-01,No,139494,2024-08-26,24,9,Non-creditworthy,0.01,0.61,Family/Friends,0,36.4,0,Yes,Diversion of Funds
LOAN_0000058,FARMER_00028,ENT_000054,235000,24.7,2019-10-24,No,100488,2020-09-18,12,3,Non-creditworthy,0.0,0.61,Government Program,5,47.0,5,Yes,Policy Change
LOAN_0000059,FARMER_00029,ENT_000056,595000,16.6,2017-08-23,No,743155,2019-02-14,18,17,Non-creditworthy,0.01,0.58,Government Program,0,73.0,0,No,N/A
LOAN_0000060,FARMER_00032,ENT_000061,170000,15.8,2018-02-07,Yes,196860,2019-02-02,12,1,Non-creditworthy,0.0,0.68,Informal Lender,4,37.5,6,No,N/A
LOAN_0000061,FARMER_00032,ENT_000061,605000,8.9,2016-02-10,No,712690,2018-01-30,24,14,Creditworthy,0.01,0.68,Microfinance Bank,2,64.6,3,No,N/A
LOAN_0000062,FARMER_00032,ENT_000062,595000,31.0,2020-09-05,No,779450,2021-08-31,12,12,Creditworthy,0.01,0.47,Cooperative,4,89.6,6,No,N/A
LOAN_0000063,FARMER_00032,ENT_000063,485000,32.7,2015-01-03,Yes,960785,2017-12-18,36,14,Non-creditworthy,0.24,0.47,Informal Lender,5,4.0,5,No,N/A
LOAN_0000064,FARMER_00032,ENT_000063,695000,24.3,2019-08-08,No,948328,2021-01-29,18,2,Creditworthy,0.34,0.47,Bank of Agriculture,3,48.9,1,No,N/A
LOAN_0000065,FARMER_00033,ENT_000064,125000,10.7,2017-08-17,No,151750,2019-08-07,24,16,Creditworthy,0.42,0.46,Commercial Bank,3,51.0,1,No,N/A
LOAN_0000066,FARMER_00033,ENT_000064,50000,15.6,2015-05-16,No,61700,2016-11-06,18,4,Non-creditworthy,0.17,0.46,Microfinance Bank,2,73.0,6,No,N/A
LOAN_0000067,FARMER_00034,ENT_000067,360000,29.8,2023-08-23,No,106087,,24,22,Creditworthy,0.24,0.65,Bank of Agriculture,4,31.5,5,No,N/A
LOAN_0000068,FARMER_00034,ENT_000067,760000,23.9,2023-08-09,Yes,850820,2024-02-05,6,2,Non-creditworthy,0.5,0.65,Microfinance Bank,5,25.0,4,No,N/A
LOAN_0000069,FARMER_00035,ENT_000068,270000,16.3,2022-08-18,No,166750,,36,17,Non-creditworthy,0.0,0.48,Microfinance Bank,1,28.6,2,No,N/A
LOAN_0000070,FARMER_00035,ENT_000068,160000,34.2,2023-05-23,Yes,44647,,24,24,Non-creditworthy,0.0,0.48,Cooperative,0,57.8,4,No,N/A
LOAN_0000071,FARMER_00035,ENT_000069,285000,27.4,2018-04-27,No,519270,2021-04-11,36,9,Creditworthy,0.02,0.78,Informal Lender,5,59.1,1,No,N/A
LOAN_0000072,FARMER_00038,ENT_000072,940000,27.7,2017-10-28,No,1460760,2019-10-18,24,3,Non-creditworthy,0.03,0.41,Family/Friends,0,19.3,1,No,N/A
LOAN_0000073,FARMER_00039,ENT_000073,315000,31.6,2023-12-04,No,55220,,18,5,Creditworthy,0.02,0.52,Bank of Agriculture,1,46.0,4,No,N/A
LOAN_0000074,FARMER_00039,ENT_000073,155000,26.1,2024-09-26,Yes,73881,,12,2,Creditworthy,0.01,0.52,Informal Lender,3,53.3,2,No,N/A
LOAN_0000075,FARMER_00041,ENT_000075,660000,16.2,2023-08-28,No,447801,2025-02-18,24,5,Non-creditworthy,0.35,0.71,Family/Friends,2,12.7,4,Yes,Input Price Hike
LOAN_0000076,FARMER_00041,ENT_000075,400000,26.8,2021-01-25,Yes,560800,2022-07-19,18,18,Non-creditworthy,0.21,0.71,Informal Lender,3,82.5,1,No,N/A
LOAN_0000077,FARMER_00041,ENT_000076,315000,28.0,2015-04-07,Yes,359100,2015-10-04,6,4,Creditworthy,0.06,0.69,Microfinance Bank,5,5.4,3,No,N/A
LOAN_0000078,FARMER_00041,ENT_000076,210000,11.5,2015-03-17,No,234150,2016-03-11,12,12,Non-creditworthy,0.04,0.69,Informal Lender,4,77.5,6,No,N/A
LOAN_0000079,FARMER_00041,ENT_000077,780000,31.4,2017-11-22,No,1514760,2020-11-06,36,23,Non-creditworthy,0.04,0.57,Government Program,4,32.6,3,No,N/A
LOAN_0000080,FARMER_00041,ENT_000077,395000,14.0,2017-09-16,Yes,450300,2018-09-11,12,12,Creditworthy,0.02,0.57,Government Program,3,91.6,4,No,N/A
LOAN_0000081,FARMER_00043,ENT_000079,115000,24.5,2022-05-12,No,79211,2023-09-04,24,11,Non-creditworthy,0.3,0.62,Microfinance Bank,2,32.0,0,Yes,Pest Attack
LOAN_0000082,FARMER_00043,ENT_000080,65000,14.9,2024-10-27,Yes,49060,,24,11,Non-creditworthy,0.0,0.63,Government Program,3,96.7,5,No,N/A
LOAN_0000083,FARMER_00044,ENT_000081,190000,6.8,2024-08-22,No,81887,2024-09-21,6,1,Non-creditworthy,0.29,0.68,Informal Lender,5,28.2,2,Yes,Market Loss
LOAN_0000084,FARMER_00044,ENT_000081,205000,25.9,2021-03-04,Yes,44108,2023-12-19,36,17,Non-creditworthy,0.31,0.68,Government Program,2,27.5,3,Yes,Low/Poor Yield
LOAN_0000085,FARMER_00045,ENT_000084,265000,32.7,2024-05-18,Yes,66671,,12,4,Creditworthy,0.0,0.75,Government Program,5,82.3,0,No,N/A
LOAN_0000086,FARMER_00047,ENT_000087,440000,9.6,2021-06-12,Yes,125383,2021-09-10,6,3,Non-creditworthy,0.02,0.43,Commercial Bank,1,9.6,3,Yes,Policy Change
LOAN_0000087,FARMER_00047,ENT_000087,330000,20.4,2018-01-03,No,151413,2019-09-25,36,25,Non-creditworthy,0.01,0.43,Commercial Bank,2,42.0,6,Yes,Low/Poor Yield
LOAN_0000088,FARMER_00048,ENT_000088,100000,8.2,2019-01-13,No,124600,2021-12-28,36,22,Creditworthy,0.01,0.69,Bank of Agriculture,2,43.6,6,No,N/A
LOAN_0000089,FARMER_00048,ENT_000088,295000,34.2,2017-05-11,Yes,496780,2019-05-01,24,13,Creditworthy,0.04,0.69,Cooperative,2,73.8,5,No,N/A
LOAN_0000090,FARMER_00048,ENT_000089,140000,34.9,2017-11-25,Yes,237720,2019-11-15,24,7,Creditworthy,0.01,0.71,Bank of Agriculture,2,83.3,0,No,N/A
LOAN_0000091,FARMER_00048,ENT_000089,400000,28.9,2021-11-16,Yes,573400,2023-05-10,18,5,Creditworthy,0.02,0.71,Family/Friends,3,79.1,0,No,N/A
LOAN_0000092,FARMER_00049,ENT_000090,1065000,21.9,2024-11-21,No,366748,,18,1,Creditworthy,0.01,0.66,Cooperative,1,51.6,4,No,N/A
LOAN_0000093,FARMER_00049,ENT_000090,985000,25.6,2022-08-12,No,1489320,2024-08-01,24,19,Creditworthy,0.01,0.66,Cooperative,0,48.8,2,No,N/A
LOAN_0000094,FARMER_00050,ENT_000093,225000,5.1,2018-04-09,Yes,140217,2019-04-04,36,24,Non-creditworthy,0.28,0.65,Cooperative,1,46.3,2,Yes,Policy Change
LOAN_0000095,FARMER_00050,ENT_000093,265000,24.2,2024-07-20,No,82466,2027-01-06,36,12,Non-creditworthy,0.33,0.65,Government Program,5,70.9,2,Yes,Low/Poor Yield
LOAN_0000096,FARMER_00050,ENT_000095,165000,32.6,2017-09-06,No,47643,2018-11-30,18,2,Non-creditworthy,0.0,0.55,Government Program,2,95.2,3,Yes,Illness of Farmer
LOAN_0000097,FARMER_00050,ENT_000095,80000,16.5,2023-09-21,No,26600,,24,15,Non-creditworthy,0.0,0.55,Microfinance Bank,0,57.0,6,No,N/A
LOAN_0000098,FARMER_00051,ENT_000096,115000,6.2,2022-09-07,No,118565,2023-03-06,6,6,Creditworthy,0.0,0.62,Cooperative,0,45.5,2,No,N/A
LOAN_0000099,FARMER_00051,ENT_000096,120000,7.6,2016-04-07,No,147360,2019-03-23,36,11,Creditworthy,0.0,0.62,Government Program,1,81.5,6,No,N/A
LOAN_0000100,FARMER_00052,ENT_000099,500000,24.0,2020-02-26,No,620000,2021-02-20,12,4,Non-creditworthy,0.01,0.71,Cooperative,2,83.0,2,No,N/A
LOAN_0000101,FARMER_00052,ENT_000099,310000,8.9,2022-06-22,Yes,176803,2022-10-20,6,1,Non-creditworthy,0.01,0.71,Commercial Bank,1,44.7,0,Yes,Input Price Hike
LOAN_0000102,FARMER_00052,ENT_000100,460000,27.7,2021-11-03,Yes,523710,2022-05-02,6,1,Creditworthy,0.43,0.47,Informal Lender,1,52.4,3,No,N/A
LOAN_0000103,FARMER_00052,ENT_000101,125000,27.6,2017-11-22,Yes,142250,2018-05-21,6,1,Creditworthy,0.44,0.55,Bank of Agriculture,2,72.5,5,No,N/A
LOAN_0000104,FARMER_00053,ENT_000102,510000,23.2,2015-11-10,Yes,864960,2018-10-25,36,13,Non-creditworthy,0.03,0.66,Cooperative,5,6.4,6,No,N/A
LOAN_0000105,FARMER_00053,ENT_000102,750000,19.8,2016-04-16,Yes,1195500,2019-04-01,36,1,Non-creditworthy,0.04,0.66,Cooperative,1,39.3,6,No,N/A
LOAN_0000106,FARMER_00054,ENT_000106,320000,26.6,2020-06-05,No,362560,2020-12-02,6,1,Non-creditworthy,0.45,0.6,Government Program,3,27.9,0,No,N/A
LOAN_0000107,FARMER_00054,ENT_000106,140000,34.3,2024-02-16,No,55956,,36,11,Non-creditworthy,0.2,0.6,Microfinance Bank,2,77.6,4,No,N/A
LOAN_0000108,FARMER_00055,ENT_000109,625000,33.6,2021-08-28,No,940000,2023-02-19,18,18,Creditworthy,0.01,0.42,Bank of Agriculture,0,37.5,2,No,N/A
LOAN_0000109,FARMER_00055,ENT_000109,395000,14.1,2022-08-12,No,450695,2023-08-07,12,9,Creditworthy,0.01,0.42,Government Program,1,15.9,3,No,N/A
LOAN_0000110,FARMER_00055,ENT_000110,440000,34.2,2017-12-09,Yes,515240,2018-06-07,6,5,Creditworthy,0.34,0.61,Bank of Agriculture,5,89.7,3,No,N/A
LOAN_0000111,FARMER_00056,ENT_000111,125000,8.2,2022-08-11,No,130125,2023-02-07,6,2,Non-creditworthy,0.01,0.78,Cooperative,3,27.2,0,No,N/A
LOAN_0000112,FARMER_00056,ENT_000111,115000,29.2,2019-12-23,Yes,148580,2020-12-17,12,6,Creditworthy,0.01,0.78,Commercial Bank,5,25.6,2,No,N/A
LOAN_0000113,FARMER_00056,ENT_000112,95000,21.7,2023-04-04,No,105308,2023-10-01,6,2,Creditworthy,0.04,0.8,Commercial Bank,0,83.2,1,No,N/A
LOAN_0000114,FARMER_00058,ENT_000114,645000,21.5,2015-02-09,No,783675,2016-02-04,12,11,Creditworthy,0.02,0.65,Family/Friends,4,79.7,3,No,N/A
LOAN_0000115,FARMER_00059,ENT_000115,40000,34.9,2018-10-28,No,60940,2020-04-20,18,6,Creditworthy,0.1,0.66,Microfinance Bank,4,32.5,5,No,N/A
LOAN_0000116,FARMER_00059,ENT_000115,160000,32.4,2015-12-23,No,315520,2018-12-07,36,13,Non-creditworthy,0.41,0.66,Informal Lender,2,18.4,0,No,N/A
LOAN_0000117,FARMER_00060,ENT_000118,85000,29.3,2024-04-21,Yes,46513,2024-12-17,24,12,Non-creditworthy,0.22,0.79,Cooperative,1,64.0,0,Yes,Diversion of Funds
LOAN_0000118,FARMER_00060,ENT_000118,110000,13.0,2018-12-03,No,131450,2020-05-26,18,1,Creditworthy,0.29,0.79,Bank of Agriculture,3,73.5,1,No,N/A
LOAN_0000119,FARMER_00060,ENT_000119,585000,25.6,2020-08-03,Yes,150156,2020-12-01,18,3,Non-creditworthy,0.01,0.73,Cooperative,1,88.9,1,Yes,Low/Poor Yield
LOAN_0000120,FARMER_00060,ENT_000119,510000,31.9,2019-06-20,No,591345,2019-12-17,6,6,Creditworthy,0.01,0.73,Informal Lender,3,16.6,0,No,N/A
LOAN_0000121,FARMER_00061,ENT_000120,445000,19.4,2016-01-07,Yes,574495,2017-06-30,18,16,Creditworthy,0.02,0.4,Cooperative,3,47.6,5,No,N/A
LOAN_0000122,FARMER_00061,ENT_000120,240000,24.3,2021-03-12,No,327480,2022-09-03,18,2,Non-creditworthy,0.01,0.4,Bank of Agriculture,3,27.1,6,No,N/A
LOAN_0000123,FARMER_00062,ENT_000121,75000,12.1,2019-02-13,Yes,102225,2022-01-28,36,34,Creditworthy,0.0,0.61,Commercial Bank,3,18.1,1,No,N/A
LOAN_0000124,FARMER_00064,ENT_000123,110000,30.3,2021-04-05,No,176660,2023-03-26,24,11,Non-creditworthy,0.23,0.76,Family/Friends,3,60.9,0,No,N/A
LOAN_0000125,FARMER_00065,ENT_000124,240000,16.1,2024-09-13,Yes,259320,2025-03-12,6,4,Non-creditworthy,0.17,0.58,Microfinance Bank,3,59.1,2,No,N/A
LOAN_0000126,FARMER_00065,ENT_000124,345000,30.1,2023-12-27,Yes,44778,2024-07-24,18,8,Non-creditworthy,0.24,0.58,Family/Friends,1,68.1,2,Yes,Input Price Hike
LOAN_0000127,FARMER_00065,ENT_000126,280000,20.3,2022-09-21,No,365260,2024-03-14,18,16,Creditworthy,0.12,0.61,Cooperative,2,64.4,6,No,N/A
LOAN_0000128,FARMER_00065,ENT_000126,475000,24.7,2021-04-05,Yes,533662,2021-10-02,6,5,Non-creditworthy,0.21,0.61,Family/Friends,2,68.4,5,No,N/A
LOAN_0000129,FARMER_00066,ENT_000127,610000,10.4,2021-08-05,No,800320,2024-07-20,36,12,Non-creditworthy,0.01,0.52,Family/Friends,0,23.0,1,No,N/A
LOAN_0000130,FARMER_00066,ENT_000127,530000,14.2,2023-06-09,No,199508,,24,21,Creditworthy,0.01,0.52,Bank of Agriculture,1,50.5,6,No,N/A
LOAN_0000131,FARMER_00066,ENT_000129,480000,34.6,2023-11-02,Yes,292298,,24,6,Creditworthy,0.01,0.69,Bank of Agriculture,0,13.8,3,No,N/A
LOAN_0000132,FARMER_00067,ENT_000130,1090000,22.9,2020-07-22,Yes,1464415,2022-01-13,18,16,Non-creditworthy,0.43,0.42,Government Program,1,17.3,6,No,N/A
LOAN_0000133,FARMER_00067,ENT_000131,260000,16.0,2015-07-21,No,384800,2018-07-05,36,4,Creditworthy,0.03,0.48,Family/Friends,0,5.8,0,No,N/A
LOAN_0000134,FARMER_00067,ENT_000131,470000,16.4,2023-05-16,Yes,547080,2024-05-10,12,11,Creditworthy,0.06,0.48,Cooperative,3,66.5,5,No,N/A
LOAN_0000135,FARMER_00067,ENT_000132,375000,8.5,2016-02-16,Yes,470625,2019-01-31,36,17,Creditworthy,0.01,0.57,Cooperative,5,41.6,1,No,N/A
LOAN_0000136,FARMER_00067,ENT_000132,80000,19.9,2018-12-16,No,40238,2019-02-14,12,10,Non-creditworthy,0.0,0.57,Family/Friends,3,15.8,0,Yes,Other
LOAN_0000137,FARMER_00069,ENT_000134,320000,33.3,2019-02-14,No,639680,2022-01-29,36,12,Non-creditworthy,0.02,0.47,Government Program,2,61.5,6,No,N/A
LOAN_0000138,FARMER_00069,ENT_000134,1320000,30.2,2019-08-16,Yes,2117280,2021-08-05,24,3,Non-creditworthy,0.06,0.47,Family/Friends,2,2.2,6,No,N/A
LOAN_0000139,FARMER_00069,ENT_000135,445000,25.6,2024-02-14,Yes,240761,,24,13,Creditworthy,0.0,0.79,Government Program,4,89.3,4,No,N/A
LOAN_0000140,FARMER_00070,ENT_000136,95000,17.1,2021-09-18,Yes,103122,2022-03-17,6,5,Non-creditworthy,0.08,0.45,Informal Lender,4,21.5,5,No,N/A
LOAN_0000141,FARMER_00070,ENT_000136,355000,15.2,2021-04-28,No,435940,2022-10-20,18,16,Non-creditworthy,0.29,0.45,Family/Friends,3,12.3,6,No,N/A
LOAN_0000142,FARMER_00070,ENT_000137,155000,26.1,2024-03-16,Yes,72309,2024-10-12,24,4,Non-creditworthy,0.0,0.65,Government Program,3,22.3,6,Yes,Pest Attack
LOAN_0000143,FARMER_00070,ENT_000137,200000,8.2,2024-01-21,Yes,94291,,24,17,Creditworthy,0.0,0.65,Bank of Agriculture,0,53.5,0,No,N/A
LOAN_0000144,FARMER_00072,ENT_000140,320000,22.1,2024-12-14,No,133819,,24,1,Non-creditworthy,0.31,0.68,Microfinance Bank,0,67.4,1,No,N/A
LOAN_0000145,FARMER_00072,ENT_000140,210000,28.6,2021-11-09,Yes,240030,2022-05-08,6,3,Creditworthy,0.2,0.68,Government Program,4,4.2,6,No,N/A
LOAN_0000146,FARMER_00072,ENT_000141,645000,24.9,2023-07-14,No,352300,2024-08-07,36,29,Non-creditworthy,0.01,0.56,Government Program,1,91.2,5,Yes,Diversion of Funds
LOAN_0000147,FARMER_00072,ENT_000141,1350000,21.4,2020-12-07,No,1927800,2022-11-27,24,22,Creditworthy,0.03,0.56,Microfinance Bank,1,73.8,0,No,N/A
