Farmer_ID,Age,Gender,Education_Level,Marital_Status,Household_Size,Offfarm_Income,Region,State,Has_Bank_Account,Owns_Smartphone,Uses_Mobile_Money
FARMER_00072,35,Female,16,Widowed,4,0,South South,Cross River,Yes,No,No
FARMER_00073,42,Male,6,Married,4,135000,South East,Abia,Yes,No,No
FARMER_00074,51,Male,12,Married,10,0,South South,Bayelsa,Yes,No,No
FARMER_00075,18,Male,12,Single,3,0,North Central,Kwara,No,Yes,No
FARMER_00076,22,Female,12,Single,1,0,South South,Rivers,No,Yes,Yes
FARMER_00077,18,Female,6,Single,3,0,North West,Kaduna,No,Yes,No
FARMER_00078,20,Male,12,Single,2,109000,South East,Enugu,Yes,No,No
FARMER_00079,26,Male,0,Married,6,33000,South South,Edo,Yes,Yes,No
FARMER_00080,18,Male,12,Single,1,141000,North West,Kebbi,Yes,Yes,Yes
FARMER_00081,48,Female,0,Married,7,27000,North Central,Nasarawa,No,Yes,Yes
FARMER_00082,47,Female,9,Married,8,0,North West,Zamfara,Yes,Yes,No
FARMER_00083,57,Female,0,Married,3,0,South South,Rivers,No,No,No
FARMER_00084,67,Female,6,Married,9,0,South West,Osun,No,Yes,Yes
FARMER_00085,60,Female,14,Married,9,0,North East,Yobe,No,Yes,Yes
FARMER_00086,36,Female,0,Married,2,33000,South South,Rivers,Yes,Yes,No
FARMER_00087,58,Male,12,Married,3,228000,South West,Ekiti,Yes,Yes,Yes
FARMER_00088,61,Female,16,Widowed,6,299000,South South,Delta,No,No,No
FARMER_00089,19,Female,9,Single,1,0,South West,Osun,Yes,Yes,Yes
FARMER_00090,59,Female,16,Divorced,4,0,South East,Anambra,Yes,No,No
FARMER_00091,41,Female,12,Married,7,0,North Central,FCT,Yes,Yes,Yes
FARMER_00092,20,Female,9,Single,2,0,South East,Imo,Yes,No,No
FARMER_00093,49,Male,9,Married,8,111000,North Central,Kogi,Yes,No,No
FARMER_00094,45,Male,12,Married,5,0,North Central,FCT,Yes,No,No
FARMER_00095,19,Female,12,Single,2,296000,North West,Sokoto,Yes,Yes,Yes
FARMER_00096,59,Male,9,Married,5,0,North West,Katsina,No,No,No
FARMER_00097,38,Male,12,Married,5,0,North West,Katsina,Yes,No,No
FARMER_00098,46,Female,14,Single,2,0,North Central,Niger,No,Yes,Yes
FARMER_00099,47,Male,3,Married,4,0,North East,Borno,Yes,No,No
FARMER_00100,20,Male,14,Married,4,497000,South East,Anambra,Yes,No,No
FARMER_00101,47,Female,16,Single,3,489000,North East,Bauchi,No,No,No
FARMER_00102,62,Male,12,Married,10,0,North Central,Plateau,No,No,No
FARMER_00103,29,Male,6,Single,2,0,South West,Osun,Yes,No,No
FARMER_00104,63,Male,18,Married,9,0,South South,Bayelsa,No,No,No
FARMER_00105,39,Male,14,Married,5,0,North Central,Kogi,Yes,Yes,Yes
FARMER_00106,70,Female,0,Widowed,1,0,North Central,Nasarawa,Yes,No,No
FARMER_00107,61,Female,3,Married,6,0,South West,Ondo,No,No,No
FARMER_00108,38,Female,6,Married,3,0,North Central,Plateau,Yes,No,No
FARMER_00109,44,Female,16,Married,6,418000,North West,Katsina,No,No,No
FARMER_00110,20,Female,14,Divorced,5,0,South South,Delta,No,No,No
FARMER_00111,34,Female,6,Married,3,0,South West,Ekiti,Yes,No,No
FARMER_00112,42,Male,14,Married,6,406000,North East,Bauchi,No,No,No
FARMER_00113,59,Female,0,Married,8,57000,South West,Osun,No,Yes,Yes
FARMER_00114,60,Female,16,Widowed,5,378000,North East,Bauchi,Yes,Yes,Yes
FARMER_00115,55,Male,6,Married,4,0,South East,Ebonyi,No,No,No
FARMER_00116,29,Male,12,Married,2,147000,South West,Osun,Yes,Yes,Yes
FARMER_00117,55,Female,14,Married,8,0,South East,Imo,Yes,Yes,Yes
FARMER_00118,29,Female,16,Single,2,419000,South South,Rivers,Yes,Yes,No
FARMER_00119,62,Female,6,Married,6,76000,North Central,Plateau,Yes,Yes,No
FARMER_00120,63,Male,0,Married,7,0,South West,Osun,Yes,Yes,Yes
FARMER_00121,69,Female,6,Married,9,0,South South,Cross River,No,Yes,Yes
FARMER_00122,33,Male,0,Married,2,0,South West,Lagos,Yes,No,No
FARMER_00123,35,Female,6,Widowed,3,79000,North East,Bauchi,Yes,No,No
FARMER_00124,70,Male,16,Married,6,0,South South,Cross River,No,No,No
FARMER_00125,23,Female,12,Single,2,0,North West,Katsina,No,No,No
FARMER_00126,55,Male,12,Widowed,2,295000,North Central,Kogi,Yes,No,No
FARMER_00127,25,Female,12,Married,6,0,North West,Zamfara,No,Yes,Yes
FARMER_00128,19,Female,9,Single,3,198000,South East,Enugu,Yes,Yes,No
FARMER_00129,58,Male,14,Married,6,0,North West,Jigawa,No,Yes,Yes
FARMER_00130,41,Male,6,Divorced,2,107000,North West,Sokoto,No,Yes,No
FARMER_00131,53,Female,6,Single,1,0,South South,Edo,No,No,No
FARMER_00132,27,Male,16,Single,5,427000,South West,Ondo,No,No,No
FARMER_00133,35,Female,16,Married,4,0,North West,Jigawa,Yes,Yes,Yes
FARMER_00134,24,Female,12,Married,3,0,North Central,FCT,No,Yes,Yes
FARMER_00135,69,Male,3,Single,5,117000,South West,Ondo,Yes,Yes,Yes
FARMER_00136,28,Male,12,Married,5,0,South West,Osun,Yes,Yes,Yes
FARMER_00137,48,Female,6,Married,7,0,South West,Oyo,Yes,Yes,No
FARMER_00138,25,Male,12,Married,2,0,South South,Akwa Ibom,Yes,Yes,Yes
FARMER_00139,41,Female,6,Married,4,0,North East,Taraba,Yes,Yes,No
FARMER_00140,45,Male,6,Single,2,0,South East,Anambra,No,No,No
FARMER_00141,31,Female,0,Married,5,0,North East,Taraba,No,No,No
FARMER_00142,19,Male,12,Single,1,141000,South West,Osun,Yes,Yes,Yes
FARMER_00143,47,Female,12,Married,2,0,North Central,Plateau,Yes,Yes,Yes
FARMER_00144,59,Male,9,Widowed,6,125000,North Central,Nasarawa,No,Yes,Yes
FARMER_00145,24,Female,12,Single,1,0,North Central,Nasarawa,Yes,No,No
FARMER_00146,26,Male,0,Single,4,0,North Central,Kwara,Yes,No,No
FARMER_00147,68,Male,6,Married,9,0,North Central,Kogi,No,No,No
FARMER_00148,53,Male,0,Married,7,26000,South West,Ekiti,Yes,Yes,Yes
FARMER_00149,61,Male,6,Married,3,71000,South West,Oyo,Yes,No,No
FARMER_00150,25,Male,6,Married,4,83000,North West,Katsina,No,No,No
FARMER_00151,30,Female,0,Married,5,0,North West,Katsina,Yes,Yes,Yes
FARMER_00152,65,Male,6,Widowed,2,71000,South West,Ondo,No,No,No
FARMER_00153,18,Male,9,Single,3,0,North East,Taraba,Yes,No,No
FARMER_00154,35,Female,12,Single,2,0,South West,Ogun,No,No,No
FARMER_00155,36,Male,9,Married,2,0,South East,Abia,No,Yes,Yes
FARMER_00156,24,Female,9,Married,4,208000,South West,Ondo,Yes,Yes,Yes
FARMER_00157,63,Male,3,Single,3,0,North Central,Nasarawa,No,No,No
FARMER_00158,46,Male,0,Married,5,75000,South East,Enugu,Yes,Yes,Yes
FARMER_00159,45,Male,12,Widowed,5,0,North West,Zamfara,No,Yes,Yes
FARMER_00160,41,Male,12,Widowed,6,196000,South West,Lagos,No,No,No
FARMER_00161,58,Female,14,Married,5,0,North Central,Niger,No,Yes,Yes
FARMER_00162,49,Male,0,Married,2,0,South South,Akwa Ibom,Yes,Yes,Yes
FARMER_00163,35,Male,12,Married,7,127000,North East,Yobe,No,Yes,No
FARMER_00164,61,Female,0,Married,2,0,North West,Katsina,Yes,No,No
FARMER_00165,55,Male,14,Married,9,0,North Central,FCT,Yes,No,No
FARMER_00166,58,Female,3,Married,8,0,South South,Edo,No,Yes,Yes
FARMER_00167,51,Female,12,Married,9,0,North East,Taraba,No,No,No
FARMER_00168,69,Male,3,Single,2,61000,North East,Borno,Yes,No,No
FARMER_00169,36,Female,16,Married,7,0,North East,Gombe,Yes,No,No
FARMER_00170,50,Male,16,Widowed,4,177000,South West,Oyo,Yes,Yes,Yes
FARMER_00171,35,Male,14,Widowed,2,0,South West,Ondo,Yes,No,No
FARMER_00172,33,Female,14,Married,2,436000,South East,Enugu,Yes,Yes,Yes
FARMER_00173,42,Female,6,Married,4,107000,South East,Abia,No,No,No
FARMER_00174,58,Male,14,Married,6,515000,North East,Yobe,No,No,No
FARMER_00175,52,Female,14,Single,2,0,North Central,FCT,No,No,No
FARMER_00176,56,Male,0,Married,4,0,South South,Delta,No,No,No
FARMER_00177,42,Male,12,Married,2,0,North East,Bauchi,Yes,No,No
FARMER_00178,45,Female,9,Divorced,5,0,North East,Gombe,Yes,Yes,No
FARMER_00179,63,Male,14,Divorced,6,426000,North West,Sokoto,Yes,No,No
FARMER_00180,26,Female,6,Married,4,118000,North West,Sokoto,Yes,No,No
FARMER_00181,62,Female,6,Married,8,0,North West,Zamfara,No,No,No
FARMER_00182,42,Male,6,Widowed,6,0,South East,Abia,Yes,Yes,Yes
FARMER_00183,23,Male,0,Single,2,62000,North East,Yobe,Yes,Yes,Yes
FARMER_00184,48,Male,6,Married,9,132000,North Central,Niger,Yes,Yes,Yes
FARMER_00185,69,Female,0,Married,4,41000,South East,Ebonyi,Yes,Yes,No
FARMER_00186,30,Male,9,Married,3,173000,South East,Enugu,Yes,Yes,Yes
FARMER_00187,40,Male,0,Married,7,41000,South East,Abia,Yes,Yes,Yes
FARMER_00188,48,Male,14,Married,6,439000,North Central,Niger,Yes,No,No
FARMER_00189,68,Male,0,Widowed,1,59000,North Central,Nasarawa,Yes,Yes,Yes
FARMER_00190,46,Male,12,Married,6,237000,North Central,FCT,No,Yes,No
FARMER_00191,48,Female,6,Married,6,0,South East,Ebonyi,No,No,No
FARMER_00192,68,Female,3,Widowed,4,0,South South,Delta,Yes,Yes,No
FARMER_00193,19,Female,0,Single,2,0,North West,Sokoto,Yes,No,No
FARMER_00194,30,Female,6,Married,2,0,South South,Rivers,Yes,Yes,Yes
FARMER_00195,35,Female,16,Single,4,340000,South South,Edo,Yes,No,No
FARMER_00196,61,Female,0,Married,9,0,North Central,Kwara,No,No,No
FARMER_00197,25,Female,16,Widowed,6,293000,North West,Jigawa,Yes,No,No
FARMER_00198,40,Male,16,Married,3,0,North Central,Plateau,No,Yes,Yes
FARMER_00199,19,Male,0,Single,1,0,North Central,Nasarawa,No,No,No
FARMER_00200,46,Female,16,Married,6,0,South East,Imo,Yes,Yes,Yes
FARMER_00201,37,Male,9,Married,2,0,North Central,Kogi,No,No,No
FARMER_00202,33,Male,6,Married,7,114000,North West,Kano,Yes,Yes,No
FARMER_00203,54,Female,16,Married,7,285000,North East,Borno,No,Yes,No
FARMER_00204,51,Female,16,Married,8,0,South East,Imo,No,Yes,No
FARMER_00205,29,Male,0,Married,7,51000,North Central,FCT,No,Yes,Yes
FARMER_00206,64,Male,16,Divorced,6,0,North East,Bauchi,Yes,Yes,Yes
FARMER_00207,38,Male,12,Married,5,0,North East,Borno,Yes,Yes,Yes
FARMER_00208,51,Male,9,Married,2,160000,North East,Gombe,No,No,No
FARMER_00209,22,Female,0,Married,4,0,South South,Delta,Yes,No,No
FARMER_00210,49,Female,16,Married,3,0,North Central,FCT,No,Yes,Yes
FARMER_00211,69,Female,9,Married,9,166000,South South,Cross River,Yes,No,No
FARMER_00212,54,Male,0,Married,8,64000,North West,Kaduna,No,No,No
FARMER_00213,56,Male,16,Widowed,3,0,South West,Ondo,Yes,Yes,No
FARMER_00214,47,Male,9,Married,3,0,South South,Edo,No,Yes,Yes
FARMER_00215,37,Male,6,Married,4,82000,North East,Gombe,No,Yes,Yes
FARMER_00216,62,Female,12,Married,5,175000,North Central,Kogi,Yes,Yes,Yes
FARMER_00217,28,Male,16,Married,7,0,South West,Ekiti,No,No,No
FARMER_00218,37,Female,0,Married,3,61000,South South,Delta,No,No,No
FARMER_00219,59,Male,6,Married,8,0,North Central,Plateau,Yes,No,No
FARMER_00220,56,Male,6,Single,4,58000,North Central,Benue,Yes,Yes,Yes
FARMER_00221,35,Male,12,Widowed,6,101000,South East,Enugu,Yes,Yes,Yes
FARMER_00222,66,Female,9,Married,5,208000,North Central,Nasarawa,No,No,No
FARMER_00223,29,Male,6,Married,5,114000,North East,Gombe,Yes,No,No
FARMER_00224,56,Female,18,Married,9,0,North East,Borno,No,No,No
FARMER_00225,33,Female,3,Single,1,0,South South,Rivers,No,No,No
FARMER_00226,59,Male,14,Married,9,0,South East,Abia,No,Yes,Yes
FARMER_00227,62,Female,0,Widowed,3,0,South South,Bayelsa,No,No,No
FARMER_00228,18,Female,12,Single,2,0,North Central,Kogi,Yes,Yes,No
FARMER_00229,56,Female,12,Married,6,0,North West,Katsina,Yes,Yes,No
FARMER_00230,35,Female,6,Married,5,125000,North West,Kebbi,No,No,No
FARMER_00231,41,Male,9,Widowed,5,0,North West,Kebbi,No,Yes,Yes
FARMER_00232,30,Male,12,Married,2,135000,North East,Taraba,Yes,No,No
FARMER_00233,20,Male,14,Single,1,230000,North Central,Plateau,No,Yes,No
FARMER_00234,43,Female,18,Married,6,0,North East,Borno,No,No,No
FARMER_00235,37,Male,16,Married,2,319000,South South,Delta,Yes,Yes,No
FARMER_00236,67,Female,3,Married,3,0,South West,Oyo,Yes,No,No
FARMER_00237,36,Female,14,Married,4,414000,North Central,Kwara,No,Yes,Yes
FARMER_00238,28,Male,6,Single,5,101000,North West,Zamfara,Yes,No,No
FARMER_00239,36,Male,6,Married,2,66000,North West,Kaduna,Yes,Yes,Yes
FARMER_00240,56,Male,12,Married,10,0,North East,Gombe,Yes,No,No
FARMER_00241,32,Female,0,Married,7,0,South East,Abia,No,Yes,No
FARMER_00242,70,Female,0,Married,7,74000,North Central,Plateau,No,No,No
FARMER_00243,56,Male,12,Married,8,0,North West,Katsina,Yes,No,No
FARMER_00244,64,Female,0,Single,2,73000,South South,Edo,Yes,Yes,Yes
FARMER_00245,47,Female,16,Married,10,0,North East,Gombe,Yes,No,No
FARMER_00246,47,Female,6,Married,4,0,South East,Enugu,Yes,No,No
FARMER_00247,19,Female,12,Single,2,0,South West,Lagos,Yes,Yes,Yes
FARMER_00248,60,Male,14,Widowed,5,0,North East,Adamawa,No,No,No
FARMER_00249,48,Female,12,Married,2,202000,South South,Bayelsa,Yes,Yes,Yes
FARMER_00250,43,Female,14,Married,4,438000,South West,Ogun,No,No,No
FARMER_00251,19,Female,9,Single,3,138000,South South,Rivers,Yes,No,No
FARMER_00252,33,Female,14,Married,2,0,South East,Ebonyi,Yes,Yes,Yes
FARMER_00253,57,Female,0,Married,6,44000,South West,Ekiti,No,Yes,Yes
FARMER_00254,68,Female,16,Married,7,0,North East,Yobe,Yes,No,No
FARMER_00255,63,Female,3,Married,7,0,North East,Borno,Yes,Yes,Yes
FARMER_00256,59,Female,12,Married,3,0,South West,Osun,Yes,No,No
FARMER_00257,46,Male,6,Widowed,6,0,North Central,Niger,Yes,Yes,Yes
FARMER_00258,68,Male,0,Married,2,0,South East,Anambra,No,No,No
FARMER_00259,22,Male,6,Single,2,100000,South West,Oyo,Yes,No,No
FARMER_00260,50,Male,9,Married,6,0,South East,Ebonyi,No,No,No
FARMER_00261,58,Male,16,Married,2,217000,South South,Edo,No,No,No
FARMER_00262,62,Female,14,Married,10,0,South West,Ondo,No,No,No
FARMER_00263,33,Male,6,Married,7,0,North Central,Nasarawa,Yes,Yes,Yes
FARMER_00264,38,Male,14,Divorced,2,0,North Central,Plateau,Yes,Yes,Yes
FARMER_00265,48,Female,6,Widowed,6,0,North West,Zamfara,No,No,No
FARMER_00266,53,Female,14,Married,10,0,North East,Gombe,Yes,No,No
FARMER_00267,40,Female,3,Married,5,138000,North East,Adamawa,No,No,No
FARMER_00268,67,Female,9,Single,5,0,North Central,Niger,Yes,Yes,Yes
FARMER_00269,65,Female,12,Married,8,272000,South South,Cross River,No,Yes,Yes
FARMER_00270,41,Male,6,Widowed,6,0,North East,Bauchi,Yes,Yes,Yes
FARMER_00271,25,Male,12,Married,4,0,South West,Lagos,No,No,No
FARMER_00272,33,Male,12,Widowed,6,163000,South East,Anambra,Yes,No,No
FARMER_00273,42,Male,0,Single,1,46000,South South,Bayelsa,No,No,No
FARMER_00274,43,Female,12,Married,9,202000,North West,Kano,No,No,No
FARMER_00275,50,Female,16,Widowed,6,188000,South East,Abia,No,No,No
FARMER_00276,25,Male,16,Single,3,405000,South East,Abia,No,Yes,Yes
FARMER_00277,48,Female,0,Widowed,4,51000,North Central,Niger,Yes,Yes,Yes
FARMER_00278,57,Male,12,Married,5,264000,North West,Kano,Yes,Yes,No
FARMER_00279,24,Male,6,Married,3,0,North Central,Niger,Yes,Yes,Yes
FARMER_00280,33,Female,6,Married,2,93000,South East,Ebonyi,Yes,No,No
FARMER_00281,48,Female,3,Married,9,0,North East,Adamawa,No,No,No
FARMER_00282,33,Female,6,Married,6,58000,North Central,FCT,No,Yes,No
FARMER_00283,32,Male,3,Single,3,109000,North East,Borno,No,No,No
FARMER_00284,62,Male,14,Married,8,306000,North East,Yobe,Yes,No,No
FARMER_00285,64,Male,12,Married,4,0,North Central,Kogi,Yes,No,No
FARMER_00286,60,Female,3,Married,3,132000,North West,Kano,Yes,No,No
FARMER_00287,44,Female,12,Married,2,0,North East,Taraba,Yes,Yes,Yes
FARMER_00288,62,Female,12,Married,4,0,North West,Katsina,Yes,Yes,Yes
FARMER_00289,47,Male,12,Married,6,0,South East,Anambra,No,Yes,Yes
FARMER_00290,38,Male,0,Married,2,0,South South,Bayelsa,No,No,No
FARMER_00291,39,Female,0,Married,6,54000,South South,Rivers,No,Yes,No
FARMER_00292,67,Female,6,Married,2,120000,North West,Zamfara,Yes,Yes,Yes
FARMER_00293,50,Female,12,Widowed,4,111000,North Central,Nasarawa,Yes,Yes,Yes
FARMER_00294,43,Female,0,Married,5,0,South South,Bayelsa,No,No,No
FARMER_00295,21,Male,14,Single,1,0,North Central,Benue,Yes,Yes,Yes
FARMER_00296,27,Male,6,Single,5,116000,South East,Ebonyi,Yes,No,No
FARMER_00297,58,Male,12,Married,9,0,North West,Sokoto,Yes,No,No
FARMER_00298,49,Female,6,Married,8,0,South South,Delta,No,Yes,Yes
FARMER_00299,40,Female,0,Married,4,0,North Central,FCT,No,No,No
FARMER_00300,24,Female,9,Single,3,0,North West,Jigawa,No,No,No
FARMER_00301,51,Female,6,Widowed,3,0,South West,Ondo,Yes,No,No
FARMER_00302,49,Male,6,Widowed,4,0,North West,Kano,No,Yes,Yes
FARMER_00303,51,Male,6,Married,5,0,South West,Oyo,Yes,Yes,No
FARMER_00304,59,Female,0,Married,5,64000,South East,Enugu,No,No,No
FARMER_00305,33,Male,9,Married,4,0,South South,Rivers,No,No,No
FARMER_00306,33,Male,0,Divorced,1,43000,South East,Anambra,Yes,Yes,No
FARMER_00307,21,Male,14,Married,3,415000,South South,Rivers,Yes,No,No
FARMER_00308,30,Male,0,Married,5,35000,South East,Abia,No,Yes,No
FARMER_00309,47,Male,0,Married,7,0,North East,Yobe,Yes,Yes,No
FARMER_00310,46,Male,6,Widowed,1,63000,North West,Kano,Yes,No,No
FARMER_00311,62,Female,0,Single,1,0,North Central,Niger,No,No,No
FARMER_00312,51,Female,6,Married,6,0,South East,Enugu,Yes,Yes,Yes
FARMER_00313,56,Female,0,Widowed,1,49000,South East,Anambra,Yes,No,No
FARMER_00314,22,Female,6,Married,4,71000,South East,Anambra,Yes,No,No
FARMER_00315,69,Male,3,Single,4,117000,South South,Edo,No,Yes,Yes
FARMER_00316,27,Male,6,Single,3,64000,North Central,Kwara,Yes,Yes,Yes
FARMER_00317,34,Female,6,Widowed,5,108000,South West,Ondo,Yes,No,No
FARMER_00318,66,Female,6,Married,3,115000,South West,Ekiti,No,Yes,No
FARMER_00319,56,Male,0,Married,9,0,South East,Imo,No,Yes,Yes
FARMER_00320,19,Female,12,Single,3,109000,North Central,Nasarawa,No,No,No
FARMER_00321,24,Female,12,Married,3,111000,South West,Ondo,Yes,Yes,Yes
FARMER_00322,28,Male,3,Single,4,93000,North Central,Nasarawa,No,Yes,Yes
FARMER_00323,40,Male,12,Single,1,0,North Central,Nasarawa,No,No,No
FARMER_00324,59,Male,0,Married,10,0,North West,Jigawa,No,No,No
FARMER_00325,55,Male,12,Married,10,0,South West,Ekiti,Yes,Yes,No
FARMER_00326,36,Male,14,Married,2,461000,North West,Kaduna,No,Yes,Yes
FARMER_00327,54,Female,14,Single,5,183000,South South,Bayelsa,Yes,No,No
FARMER_00328,47,Female,6,Married,4,0,North Central,Nasarawa,No,No,No
FARMER_00329,45,Female,0,Married,9,54000,South West,Osun,Yes,No,No
FARMER_00330,57,Male,14,Widowed,1,0,South South,Bayelsa,Yes,Yes,No
FARMER_00331,47,Male,14,Married,2,344000,South South,Bayelsa,No,No,No
FARMER_00332,69,Female,6,Married,2,55000,South West,Osun,No,No,No
FARMER_00333,27,Female,14,Married,5,0,South East,Anambra,No,Yes,Yes
FARMER_00334,26,Female,9,Single,3,0,South West,Lagos,No,No,No
FARMER_00335,41,Female,0,Single,4,0,North Central,FCT,Yes,Yes,Yes
FARMER_00336,32,Male,6,Widowed,1,129000,North Central,FCT,Yes,No,No
FARMER_00337,56,Male,0,Married,3,0,South East,Ebonyi,Yes,No,No
FARMER_00338,52,Male,0,Widowed,5,0,North West,Sokoto,No,Yes,Yes
FARMER_00339,26,Male,12,Married,6,237000,North East,Bauchi,Yes,Yes,Yes
FARMER_00340,43,Female,6,Married,6,0,North West,Jigawa,Yes,Yes,No
FARMER_00341,21,Female,12,Single,2,0,South South,Akwa Ibom,No,Yes,Yes
FARMER_00342,39,Female,9,Divorced,2,0,South South,Delta,Yes,No,No
FARMER_00343,59,Male,12,Married,7,0,South South,Delta,Yes,Yes,Yes
FARMER_00344,42,Female,6,Married,8,122000,South South,Edo,Yes,No,No
FARMER_00345,24,Female,12,Divorced,5,293000,North West,Zamfara,No,Yes,Yes
FARMER_00346,38,Male,14,Widowed,1,0,North West,Kebbi,Yes,No,No
