monthly_mobile_spend_naira,post_harvest_loss_perc,distance_to_market_km,distance_to_bank_km,percentage_sold_unprocessed,percentage_consumed,income_per_capita_ngn,annual_farm_revenue_ngn,annual_farm_yield_tons_per_ha,farm_size_ha,farming_experience_years,age,education_category,primary_crop,mobile_money_usage_frequency,creditworthiness_category,mobile_money_activity_score_1_10,cooperative_repayment_rate_percent,prior_loan_repayment_rate,has_off_farm_income,credit_score,gender,has_land_title,has_weather_insurance,smartphone_owner,cooperative_member,has_prior_loan,household_size
3949,26.02,52.3,91.0,20.6,29.9,33600.0,336000.0,1.09,0.44,18,34,No Formal Education,Rubber,Rarely,Poor,1,0,0.0,False,530,Male,False,False,True,False,False,10
132,38.39,47.2,132.1,22.3,26.4,64250.0,324000.0,1.31,0.62,25,65,Secondary Incomplete,Cowpea,Never,Fair,1,0,0.0,True,583,Male,False,False,False,False,False,8
3005,32.85,3.2,8.2,22.2,21.2,103200.0,402000.0,3.46,0.58,20,65,Primary Incomplete,Maize,Weekly,Fair,4,0,0.0,True,618,Male,False,False,True,False,False,5
4810,35.47,38.2,64.5,22.8,36.5,196500.0,1179000.0,8.09,0.52,36,64,No Formal Education,Yam,Weekly,Very Good,3,0,0.0,False,661,Male,True,False,True,False,False,6
2150,5.69,49.3,9.2,29.8,29.7,539909.0,5766000.0,20.64,1.27,40,56,Secondary Incomplete,Plantain,Monthly,Very Good,7,60,0.0,True,667,Male,False,False,True,True,False,11
2973,32.08,47.7,102.5,7.8,20.6,200500.0,802000.0,1.78,2.37,37,60,Primary Complete,Sorghum,Never,Fair,1,71,0.75,False,592,Female,False,False,True,True,True,4
5420,33.99,56.4,33.6,8.3,16.2,126286.0,369000.0,2.59,0.75,6,22,OND/NCE,Sorghum,Rarely,Good,5,0,0.0,True,630,Male,False,False,True,False,False,7
5069,42.72,3.6,98.4,22.0,36.8,116429.0,1630000.0,15.74,0.37,16,36,Primary Incomplete,Yam,Monthly,Excellent,1,99,0.0,False,729,Male,True,False,True,True,False,14
2199,22.53,0.8,22.3,25.8,26.9,62143.0,684000.0,2.61,1.31,2,44,Primary Complete,Maize,Never,Good,1,0,0.0,True,625,Male,False,False,True,False,False,14
378,25.43,34.5,9.2,22.7,25.4,197500.0,707000.0,1.32,1.41,30,56,Primary Incomplete,Soybean,Weekly,Very Good,8,0,0.78,True,687,Male,False,False,True,False,True,4
4713,22.56,64.4,99.3,25.2,21.6,37818.0,416000.0,1.27,0.82,7,23,Primary Complete,Beans,Weekly,Good,5,0,0.0,False,635,Male,False,False,True,False,False,11
199,30.39,14.6,106.4,25.8,21.8,34000.0,384000.0,0.77,1.25,5,59,No Formal Education,Cowpea,Never,Fair,1,87,0.0,True,564,Male,False,False,False,True,False,13
943,9.13,41.5,39.0,18.2,25.8,146500.0,479000.0,14.22,0.12,5,60,Primary Complete,Yam,Never,Very Good,1,67,0.0,True,676,Female,False,False,False,True,False,4
4450,44.48,64.5,97.5,20.7,34.3,46857.0,328000.0,8.33,0.14,33,65,No Formal Education,Yam,Rarely,Good,7,92,0.0,False,642,Female,False,False,True,True,False,7
441,34.99,8.5,74.3,20.5,22.7,196750.0,604000.0,2.63,1.15,27,43,Secondary Complete,Maize,Never,Good,1,0,0.0,True,638,Male,False,False,False,False,False,4
3137,5.32,68.1,15.1,8.0,18.3,49643.0,616000.0,1.82,1.78,5,57,Primary Incomplete,Sorghum,Weekly,Good,2,0,0.0,True,634,Male,False,False,True,False,False,14
3214,21.26,7.1,24.3,22.2,27.6,1463000.0,7263000.0,12.47,2.08,4,20,No Formal Education,Yam,Weekly,Poor,1,0,0.75,True,558,Male,False,False,True,False,True,5
139,16.19,22.9,47.9,24.7,21.9,11000.0,60000.0,0.73,0.21,4,20,No Formal Education,Beans,Never,Poor,1,0,0.0,True,549,Male,False,True,False,False,False,10
2950,38.47,28.0,24.1,21.6,29.5,60833.0,365000.0,1.65,0.58,17,33,Secondary Complete,Soybean,Rarely,Fair,9,0,0.0,False,577,Male,False,False,True,False,False,6
1014,41.84,50.6,16.7,27.0,41.5,446333.0,5246000.0,17.42,2.51,11,27,Primary Complete,Cassava,Never,Fair,1,66,0.0,True,589,Male,False,False,False,True,False,12
5723,7.14,62.7,27.2,23.8,21.0,63000.0,162000.0,2.38,0.34,2,18,Primary Incomplete,Maize,Daily,Very Good,2,91,0.66,True,660,Male,False,False,True,True,True,4
5896,20.79,36.6,91.8,29.0,40.1,34000.0,374000.0,11.14,0.28,38,60,No Formal Education,Cassava,Daily,Excellent,5,77,0.7,False,731,Male,False,True,True,True,True,11
5588,41.83,49.8,40.9,23.5,11.5,320556.0,2569000.0,4.1,1.79,6,22,Secondary Complete,Rice,Monthly,Excellent,9,79,0.61,True,743,Female,False,True,True,True,True,9
2133,6.99,47.6,82.6,7.5,21.6,252500.0,859000.0,2.74,1.65,17,33,Primary Complete,Sorghum,Rarely,Good,7,0,0.0,True,635,Male,False,False,True,False,False,4
1138,31.22,39.4,137.8,7.4,16.9,218286.0,1528000.0,3.42,2.35,17,35,Primary Complete,Guinea Corn,Never,Poor,1,0,0.57,False,508,Male,False,False,False,False,True,7
338,18.31,17.8,69.7,21.0,24.9,46182.0,508000.0,0.95,1.34,25,53,No Formal Education,Cowpea,Monthly,Poor,9,0,0.52,False,522,Female,False,False,True,False,True,11
5401,28.76,42.8,78.0,24.1,20.7,339400.0,1564000.0,3.97,1.97,15,37,Primary Complete,Maize,Monthly,Excellent,2,0,0.0,True,745,Female,True,False,True,False,False,5
1061,8.99,29.8,88.7,24.0,28.6,312000.0,1248000.0,0.88,3.55,10,46,No Formal Education,Cowpea,Monthly,Very Good,8,0,0.0,False,672,Male,False,True,True,False,False,4
4361,25.76,6.0,45.0,20.0,28.7,49429.0,692000.0,11.74,0.21,24,40,Primary Complete,Yam,Monthly,Fair,5,75,0.0,False,596,Female,False,False,True,True,False,14
1289,8.9,41.4,118.1,26.0,20.5,56000.0,224000.0,1.09,0.51,25,41,Primary Complete,Cowpea,Weekly,Fair,2,0,0.0,False,609,Male,False,True,True,False,False,4
5808,43.82,41.0,94.3,28.9,25.3,51000.0,255000.0,0.81,0.21,9,43,Primary Complete,Cocoa,Weekly,Fair,9,0,0.0,False,607,Female,False,False,True,False,False,5
853,32.72,13.5,18.2,25.6,20.4,237286.0,1378000.0,2.63,2.62,3,19,Secondary Complete,Maize,Never,Very Good,1,64,0.0,True,677,Male,False,False,False,True,False,7
599,18.98,20.2,91.2,30.3,9.8,67571.0,473000.0,3.3,0.41,3,19,Primary Complete,Rice,Never,Very Poor,1,0,0.48,False,472,Female,False,False,False,False,True,7
193,7.17,20.1,139.7,22.7,31.1,209615.0,2725000.0,13.93,1.63,28,65,No Formal Education,Cassava,Never,Poor,1,65,0.79,False,541,Male,False,False,False,True,True,13
4291,11.44,43.3,31.3,18.9,28.7,276154.0,3590000.0,13.49,0.95,1,59,OND/NCE,Yam,Monthly,Good,5,0,0.0,False,623,Female,False,False,True,False,False,13
1396,38.98,13.0,94.9,27.8,34.0,225800.0,2020000.0,22.44,0.75,20,39,Secondary Incomplete,Cassava,Rarely,Very Good,1,70,0.58,True,688,Male,False,False,True,True,True,10
342,25.65,15.1,17.0,20.4,25.7,370800.0,1854000.0,1.84,1.83,2,18,Primary Complete,Cotton,Never,Very Poor,1,0,0.42,False,458,Male,False,False,False,False,True,5
1188,41.89,38.0,10.2,24.2,28.7,4063429.0,28160000.0,29.83,2.95,36,52,Secondary Complete,Vegetables,Never,Fair,1,0,0.0,True,575,Male,False,False,False,False,False,7
2812,21.35,43.2,105.8,26.4,28.0,27429.0,192000.0,0.69,0.46,6,64,Primary Complete,Sesame,Monthly,Fair,4,95,0.0,False,593,Female,False,False,True,True,False,7
4880,29.61,35.7,88.2,18.6,24.1,21818.0,240000.0,1.51,0.4,39,62,HND/BSc,Cowpea,Monthly,Good,4,86,0.0,False,651,Male,False,False,True,True,False,11
489,43.22,58.5,127.1,21.2,20.8,206000.0,1236000.0,1.2,1.72,16,32,OND/NCE,Sesame,Never,Good,1,72,0.0,False,629,Male,False,True,False,True,False,6
3349,32.93,39.1,129.9,31.7,7.2,35545.0,212000.0,1.1,0.43,36,52,Primary Complete,Groundnut,Weekly,Good,3,0,0.0,True,641,Female,False,False,True,False,False,11
928,44.17,42.6,65.4,25.9,26.4,46667.0,280000.0,1.66,0.42,36,52,No Formal Education,Cowpea,Never,Poor,1,0,0.0,False,531,Male,False,False,False,False,False,6
462,34.5,22.0,35.4,23.7,21.7,177000.0,632000.0,2.82,1.12,31,63,No Formal Education,Maize,Never,Fair,1,0,0.0,True,599,Male,False,False,False,False,False,4
657,21.89,20.1,13.4,20.9,20.1,150000.0,450000.0,1.07,0.28,39,60,OND/NCE,Cocoa,Never,Excellent,1,0,0.81,False,747,Female,False,False,False,False,True,3
726,12.97,1.1,5.2,7.3,18.0,271667.0,815000.0,2.65,1.62,2,18,Secondary Complete,Sorghum,Weekly,Good,1,75,0.61,False,634,Male,False,False,True,True,True,3
2457,40.95,46.3,85.5,7.1,19.9,26182.0,188000.0,1.94,0.51,15,56,Primary Incomplete,Sorghum,Weekly,Good,3,64,0.0,True,626,Male,False,False,True,True,False,11
2789,42.21,66.4,88.2,28.9,38.5,112600.0,466000.0,15.52,0.25,32,49,No Formal Education,Cassava,Daily,Good,4,100,0.0,True,638,Male,False,False,True,True,False,5
665,19.4,17.9,26.4,25.7,21.3,277750.0,2222000.0,2.73,4.07,10,26,Primary Complete,Maize,Never,Good,1,97,0.66,False,659,Male,True,False,False,True,True,8
703,17.77,14.1,96.2,31.1,33.5,2523667.0,7518000.0,18.87,3.32,4,52,No Formal Education,Cassava,Monthly,Fair,3,0,0.0,True,586,Female,False,False,True,False,False,3
450,39.75,66.2,7.6,25.6,22.7,16500.0,132000.0,1.64,0.2,29,54,Secondary Complete,Cowpea,Monthly,Excellent,3,0,0.85,False,737,Male,False,True,True,False,True,8
2859,40.62,36.9,28.9,25.8,28.0,37357.0,416000.0,1.63,0.64,5,21,Primary Complete,Cowpea,Weekly,Very Good,9,0,0.0,True,662,Male,False,True,True,False,False,14
652,14.24,23.1,46.3,20.4,26.3,3206000.0,3206000.0,2.93,5.47,7,23,Secondary Complete,Maize,Never,Good,1,0,0.0,False,638,Male,False,False,False,False,False,1
284,23.54,51.0,146.5,22.4,19.6,45143.0,632000.0,0.97,1.63,2,18,No Formal Education,Beans,Never,Fair,1,84,0.82,False,585,Female,False,False,False,True,True,14
701,8.18,7.0,51.9,22.3,9.7,19833.0,119000.0,3.35,0.1,17,44,No Formal Education,Rice,Rarely,Fair,10,62,0.0,False,576,Male,False,False,True,True,False,6
392,24.7,43.3,3.9,23.4,25.7,83231.0,1082000.0,2.21,2.45,31,60,No Formal Education,Maize,Monthly,Good,5,0,0.0,False,630,Male,False,False,True,False,False,13
4002,16.22,63.4,16.3,28.7,23.1,391875.0,3135000.0,0.71,2.94,27,46,Primary Complete,Cocoa,Weekly,Good,1,90,0.0,False,632,Male,False,False,True,True,False,8
4800,5.9,38.1,17.1,16.4,29.6,77300.0,773000.0,8.61,0.32,33,49,No Formal Education,Yam,Monthly,Fair,4,0,0.68,False,571,Male,False,False,True,False,True,10
1176,20.68,27.2,57.7,27.3,40.1,230700.0,2062000.0,19.98,0.86,12,28,Secondary Incomplete,Cassava,Rarely,Good,8,0,0.0,True,646,Male,False,False,True,False,False,10
282,35.28,67.8,10.1,18.6,21.9,156000.0,780000.0,1.0,1.95,5,54,Primary Complete,Cowpea,Never,Poor,1,95,0.71,False,516,Male,False,False,False,True,True,5
651,39.41,8.4,48.7,8.4,22.7,426500.0,2322000.0,3.04,4.02,24,43,Secondary Incomplete,Sorghum,Never,Fair,1,0,0.0,True,614,Male,False,False,False,False,False,6
2404,34.08,34.2,121.9,22.5,8.6,317429.0,2222000.0,4.6,1.38,35,58,Primary Complete,Rice,Weekly,Fair,8,0,0.0,False,565,Male,False,False,True,False,False,7
5660,5.47,58.3,11.7,26.4,8.9,100333.0,301000.0,2.14,0.4,8,56,Primary Complete,Rice,Daily,Fair,4,60,0.0,False,618,Male,False,False,True,True,False,3
510,35.77,63.9,71.8,25.7,22.5,98000.0,392000.0,1.28,0.44,9,29,Primary Complete,Rubber,Never,Fair,1,66,0.0,False,614,Female,False,False,False,True,False,4
3447,9.85,2.3,149.5,24.6,25.4,20000.0,100000.0,0.84,0.3,37,56,No Formal Education,Cowpea,Monthly,Fair,8,72,0.0,False,573,Male,False,False,True,True,False,5
2106,23.85,53.6,93.0,27.0,38.8,743667.0,2174000.0,10.98,1.65,1,17,No Formal Education,Cassava,Rarely,Fair,2,0,0.0,True,598,Male,False,True,True,False,False,3
4721,42.52,67.8,48.0,26.4,21.9,114750.0,408000.0,1.84,1.11,6,55,No Formal Education,Maize,Rarely,Good,1,0,0.0,True,640,Male,False,True,True,False,False,4
788,20.02,55.4,99.3,38.0,10.3,294750.0,1179000.0,1.6,1.64,29,50,Secondary Complete,Groundnut,Monthly,Fair,3,0,0.7,False,616,Male,False,False,True,False,True,4
4972,24.17,5.4,89.5,22.7,29.5,653167.0,3778000.0,1.49,4.61,15,33,Primary Complete,Cotton,Monthly,Very Good,3,100,0.0,True,684,Male,False,False,True,True,False,6
1062,34.5,66.2,81.1,23.1,30.5,176364.0,1940000.0,13.87,0.5,5,21,Primary Incomplete,Yam,Never,Very Poor,1,0,0.52,False,461,Male,False,False,False,False,True,11
1736,23.32,46.8,146.9,25.3,20.4,221800.0,902000.0,2.22,2.03,29,56,Primary Complete,Maize,Weekly,Excellent,3,62,0.86,True,718,Male,False,False,True,True,True,5
4490,19.3,61.3,22.3,26.3,26.9,143429.0,1004000.0,1.53,1.64,37,63,Primary Complete,Cowpea,Monthly,Fair,6,0,0.0,False,608,Male,False,False,True,False,False,7
5514,33.41,2.5,76.7,23.6,24.8,437000.0,5082000.0,25.21,0.63,20,43,Primary Complete,Vegetables,Never,Good,1,0,0.0,True,632,Male,False,False,True,False,False,12
309,39.9,48.4,95.3,22.4,30.0,82857.0,1067000.0,12.29,0.31,4,32,No Formal Education,Yam,Never,Poor,1,0,0.0,True,539,Male,False,False,False,False,False,14
520,8.11,66.4,58.7,30.6,32.3,369250.0,2954000.0,15.99,1.54,2,24,Secondary Complete,Cassava,Never,Poor,1,0,0.0,False,551,Female,False,False,False,False,False,8
562,35.46,56.3,141.5,26.7,26.7,188000.0,1128000.0,2.38,0.86,31,64,HND/BSc,Cotton,Never,Fair,1,0,0.0,False,580,Male,False,False,False,False,False,6
1767,19.24,34.7,75.2,25.4,27.0,67750.0,120000.0,2.29,0.26,7,23,Primary Complete,Maize,Daily,Good,10,0,0.0,True,647,Male,False,False,True,False,False,4
798,25.27,4.4,44.2,5.8,20.4,37154.0,483000.0,1.88,1.35,11,40,No Formal Education,Sorghum,Never,Poor,1,0,0.0,False,486,Male,False,False,False,False,False,13
294,19.53,30.2,58.6,32.1,8.3,83200.0,832000.0,1.21,1.53,25,52,Primary Complete,Groundnut,Never,Poor,1,0,0.0,False,523,Male,False,False,False,False,False,10
1528,23.5,19.5,3.9,22.4,25.4,377600.0,1888000.0,1.29,3.66,35,51,No Formal Education,Cowpea,Weekly,Fair,8,70,0.78,False,610,Male,False,False,True,True,True,5
3369,14.52,2.0,96.7,29.4,26.9,95625.0,675000.0,4.83,0.28,9,54,No Formal Education,Oil Palm,Monthly,Good,3,0,0.0,True,635,Male,False,False,True,False,False,8
4786,36.57,22.3,9.1,29.7,28.3,303333.0,2730000.0,0.87,2.09,26,59,Secondary Complete,Cocoa,Monthly,Good,8,0,0.0,False,644,Male,False,False,True,False,False,9
1029,41.27,9.5,129.9,22.8,25.7,54800.0,274000.0,3.33,0.41,13,36,Secondary Complete,Maize,Never,Fair,1,0,0.0,False,581,Male,False,False,False,False,False,5
4426,41.33,35.2,146.3,27.2,41.8,84500.0,845000.0,14.66,0.48,23,39,Primary Complete,Cassava,Weekly,Fair,6,68,0.0,False,596,Male,False,False,True,True,False,10
333,44.55,9.0,62.3,18.6,25.2,635000.0,6350000.0,20.43,1.11,33,49,Secondary Complete,Yam,Never,Poor,1,0,0.0,False,528,Male,False,False,True,False,False,10
3479,11.52,24.3,74.9,22.0,25.2,68333.0,96000.0,1.08,0.22,37,56,Primary Complete,Cowpea,Monthly,Good,6,92,0.0,True,641,Female,False,False,True,True,False,3
5248,12.18,46.2,114.2,33.5,9.7,428667.0,1098000.0,1.67,1.46,3,35,Primary Complete,Groundnut,Monthly,Good,1,0,0.0,True,625,Female,False,False,True,False,False,3
4840,34.55,29.8,32.3,27.1,35.6,1085000.0,1085000.0,12.38,0.73,5,21,No Formal Education,Cassava,Monthly,Fair,10,0,0.0,False,617,Male,False,False,True,False,False,1
448,36.84,8.9,41.4,18.0,27.6,21500.0,144000.0,0.94,0.38,33,60,No Formal Education,Beans,Daily,Good,9,74,0.0,True,631,Male,False,False,True,True,False,10
2310,11.17,36.4,68.5,29.9,10.9,111167.0,1334000.0,3.89,0.98,3,45,Secondary Complete,Rice,Monthly,Fair,7,0,0.0,False,606,Female,False,False,True,False,False,12
358,33.01,11.6,3.8,22.4,26.6,158667.0,476000.0,2.73,0.87,2,18,Primary Complete,Maize,Never,Fair,1,100,0.0,False,617,Male,False,False,False,True,False,3
267,19.01,26.2,53.1,23.9,21.7,49000.0,196000.0,2.34,0.42,3,19,Primary Incomplete,Maize,Never,Poor,1,0,0.0,False,484,Female,False,False,False,False,False,4
1101,27.87,40.3,89.2,26.7,10.9,255000.0,3570000.0,3.85,2.65,8,25,Primary Complete,Rice,Never,Poor,1,0,0.0,False,488,Male,False,False,False,False,False,14
346,33.29,31.4,80.9,28.6,19.4,156357.0,2062000.0,4.26,2.42,29,45,Secondary Incomplete,Maize,Never,Good,1,97,0.0,True,659,Female,False,False,False,True,False,14
307,35.09,59.3,80.1,24.3,32.3,824250.0,3194000.0,21.13,1.26,6,22,Primary Incomplete,Cassava,Never,Poor,1,0,0.0,True,556,Male,False,False,False,False,False,4
2934,17.03,29.2,89.6,22.3,32.8,101286.0,554000.0,10.4,0.19,2,18,Primary Complete,Yam,Weekly,Good,3,0,0.81,True,643,Male,False,False,True,False,True,7
459,14.37,51.2,28.2,28.9,10.5,202357.0,2695000.0,3.6,2.14,24,40,Primary Incomplete,Rice,Never,Good,1,0,0.0,True,638,Female,False,False,False,False,False,14
5154,5.21,54.4,96.7,25.8,20.9,473250.0,3786000.0,35.84,0.33,27,43,OND/NCE,Vegetables,Rarely,Good,6,64,0.7,False,650,Male,True,False,True,True,True,8
795,23.16,20.7,145.8,17.2,27.7,1623250.0,6493000.0,13.64,1.7,19,44,Primary Complete,Yam,Rarely,Fair,10,0,0.0,False,596,Male,False,False,True,False,False,4
113,40.04,14.0,59.0,6.2,16.5,209750.0,789000.0,2.32,1.79,22,38,No Formal Education,Guinea Corn,Never,Fair,1,88,0.0,True,600,Male,False,False,False,True,False,4
5456,9.74,12.1,64.3,7.1,16.6,29000.0,131000.0,2.21,0.33,35,51,No Formal Education,Millet,Weekly,Fair,4,0,0.0,True,615,Male,False,False,True,False,False,7
4410,22.78,17.9,74.8,20.8,26.5,186750.0,2128000.0,13.11,0.58,13,47,Primary Complete,Yam,Daily,Very Good,2,81,0.0,True,664,Male,False,False,True,True,False,12
3205,33.9,11.2,95.3,7.3,19.8,12222.0,110000.0,2.04,0.3,16,32,Primary Incomplete,Millet,Rarely,Fair,5,68,0.0,False,611,Male,False,False,True,True,False,9
522,16.35,11.5,57.9,27.2,23.6,218500.0,1748000.0,2.82,3.1,25,41,Primary Incomplete,Maize,Never,Poor,1,0,0.58,False,524,Male,False,False,False,False,True,8
544,41.0,54.7,41.6,20.4,20.3,546667.0,6560000.0,17.98,1.14,19,37,Secondary Complete,Vegetables,Never,Fair,1,0,0.0,False,573,Female,False,False,False,False,False,12
4583,29.28,26.5,24.6,20.6,21.0,224333.0,256000.0,0.86,0.74,9,37,Secondary Complete,Cowpea,Monthly,Excellent,1,0,0.0,True,708,Male,False,False,True,False,False,3
5982,6.76,27.1,64.4,33.5,32.1,301000.0,3612000.0,14.0,2.15,6,22,Primary Incomplete,Cassava,Rarely,Fair,2,0,0.0,False,574,Female,False,False,True,False,False,12
349,30.92,14.7,81.0,24.2,31.6,83200.0,416000.0,15.08,0.23,13,63,No Formal Education,Cassava,Monthly,Fair,3,0,0.0,False,590,Male,False,True,True,False,False,5
4325,28.81,27.2,57.0,25.3,41.9,107200.0,1072000.0,18.6,0.48,24,52,Primary Complete,Cassava,Monthly,Very Good,8,67,0.0,False,685,Male,False,False,True,True,False,10
883,5.49,24.4,15.1,18.5,37.0,624111.0,5544000.0,9.61,2.06,3,60,No Formal Education,Yam,Never,Poor,1,0,0.0,True,548,Male,False,False,False,False,False,9
3377,8.19,57.3,141.7,25.4,9.3,129833.0,714000.0,3.52,0.58,8,43,Primary Incomplete,Rice,Rarely,Excellent,7,80,0.83,True,751,Male,True,False,True,True,True,6
